,month,day,hour,weekday,avg_hrly_press
529,11,10,14,6,101484.53499999999
535,11,10,15,6,101460.19833333335
541,11,10,16,6,101467.97333333334
547,11,10,17,6,101521.28833333333
553,11,10,18,6,101576.47833333333
559,11,10,19,6,101599.17
565,11,10,20,6,101661.42833333333
571,11,10,21,6,101698.23166666664
577,11,10,22,6,101727.71333333332
583,11,10,23,6,101706.335
589,11,11,0,0,101759.96833333334
595,11,11,1,0,101775.57833333332
601,11,11,2,0,101782.83166666667
607,11,11,3,0,101788.22833333333
613,11,11,4,0,101869.07666666666
619,11,11,5,0,101896.24833333334
625,11,11,6,0,101944.02833333334
631,11,11,7,0,102013.175
637,11,11,8,0,102067.47833333333
643,11,11,9,0,102068.81
649,11,11,10,0,102069.78000000001
655,11,11,11,0,102004.58166666667
661,11,11,12,0,101941.11833333333
667,11,11,13,0,101914.87333333334
673,11,11,14,0,101873.57333333332
679,11,11,15,0,101841.355
685,11,11,16,0,101797.91333333333
691,11,11,17,0,101750.78666666667
697,11,11,18,0,101715.38666666666
703,11,11,19,0,101631.49333333333
709,11,11,20,0,101589.50166666666
715,11,11,21,0,101517.64833333333
721,11,11,22,0,101435.56666666667
727,11,11,23,0,101353.65833333333
733,11,12,0,1,101279.23333333332
739,11,12,1,1,101097.335
745,11,12,2,1,100977.04166666667
751,11,12,3,1,100867.50833333335
757,11,12,4,1,100795.46666666667
763,11,12,5,1,100764.89166666666
769,11,12,6,1,100627.95
775,11,12,7,1,100633.95166666666
781,11,12,8,1,100568.98333333332
787,11,12,9,1,100566.645
793,11,12,10,1,100654.26166666667
799,11,12,11,1,100647.85166666668
805,11,12,12,1,100706.96166666667
811,11,12,13,1,100808.18833333335
817,11,12,14,1,100936.24333333333
823,11,12,15,1,101054.81833333331
829,11,12,16,1,101155.16333333333
835,11,12,17,1,101254.33
841,11,12,18,1,101338.15833333333
847,11,12,19,1,101372.10666666664
853,11,12,20,1,101444.45333333332
859,11,12,21,1,101520.31166666666
865,11,12,22,1,101583.42333333334
871,11,12,23,1,101663.80666666666
877,11,13,0,2,101689.55500000001
883,11,13,1,2,101724.24333333333
889,11,13,2,2,101749.005
895,11,13,3,2,101796.39999999998
901,11,13,4,2,101865.54
907,11,13,5,2,101943.175
913,11,13,6,2,102013.61
919,11,13,7,2,102107.48999999999
925,11,13,8,2,102199.24666666666
931,11,13,9,2,102264.08333333333
937,11,13,10,2,102275.46999999999
943,11,13,11,2,102270.15666666668
949,11,13,12,2,102292.27833333332
955,11,13,13,2,102344.40800000001
960,11,13,18,2,102881.17
962,11,13,19,2,102965.17833333334
968,11,13,20,2,103012.705
974,11,13,21,2,103086.02833333332
980,11,13,22,2,103107.57
986,11,13,23,2,103136.14500000002
992,11,14,0,3,103161.22166666666
998,11,14,1,3,103191.705
1004,11,14,2,3,103193.26333333335
1010,11,14,3,3,103191.86333333334
1016,11,14,4,3,103238.22000000002
1022,11,14,5,3,103234.37
1028,11,14,6,3,103240.88166666667
1034,11,14,7,3,103260.06666666667
1040,11,14,8,3,103304.77
1046,11,14,9,3,103287.62999999999
1052,11,14,10,3,103227.33666666667
1058,11,14,11,3,103099.89166666666
1064,11,14,12,3,103011.92166666665
1070,11,14,13,3,102946.90999999999
1076,11,14,14,3,102904.05666666666
1082,11,14,15,3,102829.04833333332
1088,11,14,16,3,102788.74666666666
1094,11,14,17,3,102742.96833333334
1100,11,14,18,3,102667.12166666666
1106,11,14,19,3,102579.20166666666
1112,11,14,20,3,102566.91166666667
1118,11,14,21,3,102539.495
1124,11,14,22,3,102493.74
1130,11,14,23,3,102469.95666666667
1136,11,15,0,4,102425.44499999999
1142,11,15,1,4,102387.805
1148,11,15,2,4,102325.43166666666
1154,11,15,3,4,102275.20833333333
1160,11,15,4,4,102275.315
1166,11,15,5,4,102269.64833333333
1172,11,15,6,4,102244.995
1178,11,15,7,4,102227.08333333333
1184,11,15,8,4,102212.13333333335
1190,11,15,9,4,102127.90666666666
1196,11,15,10,4,102021.84499999999
1202,11,15,11,4,101901.20166666668
1208,11,15,12,4,101813.06
1214,11,15,13,4,101770.91000000002
1220,11,15,14,4,101726.21833333332
1226,11,15,15,4,101720.61166666668
1232,11,15,16,4,101767.20166666666
1238,11,15,17,4,101810.23666666665
1244,11,15,18,4,101868.37666666666
1250,11,15,19,4,101917.44666666667
1256,11,15,20,4,101965.17833333333
1262,11,15,21,4,102090.23999999999
1268,11,15,22,4,102163.66333333333
1274,11,15,23,4,102194.055
1280,11,16,0,5,102313.21
1286,11,16,1,5,102474.95333333335
1292,11,16,2,5,102591.80166666668
1298,11,16,3,5,102738.12833333334
1304,11,16,4,5,102875.23333333334
1310,11,16,5,5,102971.33
1316,11,16,6,5,103110.105
1322,11,16,7,5,103228.27500000001
1328,11,16,8,5,103306.38666666666
1334,11,16,9,5,103303.65000000001
1340,11,16,10,5,103297.635
1346,11,16,11,5,103253.78333333333
1352,11,16,12,5,103213.10166666668
1358,11,16,13,5,103168.01333333332
1364,11,16,14,5,103137.56
1370,11,16,15,5,103137.98
1376,11,16,16,5,103199.69333333334
1382,11,16,17,5,103258.73999999999
1388,11,16,18,5,103260.17499999999
1392,11,16,20,5,103333.07
1393,11,16,21,5,103330.16333333333
1399,11,16,22,5,103322.29166666667
1405,11,16,23,5,103279.58166666667
1411,11,17,0,6,103220.81
1417,11,17,1,6,103179.31833333334
1423,11,17,2,6,103175.625
1429,11,17,3,6,103145.43166666666
1435,11,17,4,6,103162.86833333333
1441,11,17,5,6,103123.32
1447,11,17,6,6,103118.73999999999
1453,11,17,7,6,103110.26833333333
1459,11,17,8,6,103108.79666666668
1465,11,17,9,6,103123.955
1471,11,17,10,6,103047.07166666666
1477,11,17,11,6,102939.51666666666
1483,11,17,12,6,102829.59333333334
1489,11,17,13,6,102752.17833333333
1495,11,17,14,6,102690.38166666667
1501,11,17,15,6,102641.33666666667
1507,11,17,16,6,102568.44333333334
1513,11,17,17,6,102519.67666666668
1519,11,17,18,6,102454.33166666667
1525,11,17,19,6,102390.91166666667
1531,11,17,20,6,102306.29833333334
1537,11,17,21,6,102200.69333333331
1543,11,17,22,6,102103.67
1549,11,17,23,6,102010.13
1555,11,18,0,0,101913.85166666667
1561,11,18,1,0,101835.90000000001
1567,11,18,2,0,101725.50166666666
1573,11,18,3,0,101652.14666666667
1579,11,18,4,0,101597.57333333332
1585,11,18,5,0,101512.13
1591,11,18,6,0,101476.77
1597,11,18,7,0,101431.53499999999
1603,11,18,8,0,101349.62333333334
1609,11,18,9,0,101242.99666666666
1615,11,18,10,0,101112.5
1621,11,18,11,0,100991.335
1627,11,18,12,0,100878.51333333335
1633,11,18,13,0,100767.44
1639,11,18,14,0,100661.00333333334
1645,11,18,15,0,100621.055
1651,11,18,16,0,100595.98833333333
1657,11,18,17,0,100579.88500000001
1663,11,18,18,0,100542.77666666666
1669,11,18,19,0,100511.31833333334
1675,11,18,20,0,100523.92
1681,11,18,21,0,100504.78333333334
1687,11,18,22,0,100420.15499999998
1693,11,18,23,0,100430.67833333334
1699,11,19,0,1,100528.42833333334
1705,11,19,1,1,100547.055
1711,11,19,2,1,100569.77999999998
1717,11,19,3,1,100578.39166666666
1723,11,19,4,1,100622.27333333333
1729,11,19,5,1,100678.65500000001
1735,11,19,6,1,100715.175
1741,11,19,7,1,100766.30666666669
1747,11,19,8,1,100759.23833333334
1753,11,19,9,1,100767.18999999999
1759,11,19,10,1,100776.85833333334
1765,11,19,11,1,100757.22333333333
1771,11,19,12,1,100755.09833333333
1777,11,19,13,1,100755.08
1783,11,19,14,1,100777.52500000001
1789,11,19,15,1,100837.48166666667
1795,11,19,16,1,100937.63166666667
1801,11,19,17,1,101034.295
1807,11,19,18,1,101072.78833333333
1813,11,19,19,1,101101.20000000001
1819,11,19,20,1,101108.74
1824,11,26,19,1,101629.695
1826,11,26,20,1,101666.35833333332
1832,11,26,21,1,101691.44499999999
1838,11,26,22,1,101725.26333333335
1844,11,26,23,1,101747.13166666667
1850,11,27,0,2,101739.81
1856,11,27,1,2,101786.66333333333
1862,11,27,2,2,101832.71
1868,11,27,3,2,101836.59999999999
1874,11,27,4,2,101825.75333333331
1880,11,27,5,2,101834.96999999999
1886,11,27,6,2,101835.06333333334
1892,11,27,7,2,101830.18166666666
1898,11,27,8,2,101804.00333333334
1904,11,27,9,2,101734.71833333332
1910,11,27,10,2,101573.72833333335
1916,11,27,11,2,101460.03166666668
1922,11,27,12,2,101379.46333333332
1928,11,27,13,2,101227.27
1934,11,27,14,2,101017.84333333332
1940,11,27,15,2,100863.75499999999
1946,11,27,16,2,100687.195
1952,11,27,17,2,100488.06666666667
1958,11,27,18,2,100250.145
1964,11,27,19,2,100123.44666666667
1970,11,27,20,2,99929.65166666667
1976,11,27,21,2,99875.85000000002
1982,11,27,22,2,99823.30833333335
1988,11,27,23,2,99784.68166666666
1994,11,28,0,3,99727.24333333333
2000,11,28,1,3,99749.01666666666
2006,11,28,2,3,99770.14333333333
2012,11,28,3,3,99790.96333333332
2018,11,28,4,3,99812.55166666665
2024,11,28,5,3,99878.37333333334
2030,11,28,6,3,99941.88166666667
2036,11,28,7,3,100011.27500000001
2042,11,28,8,3,100108.03000000001
2048,11,28,9,3,100187.425
2054,11,28,10,3,100275.005
2060,11,28,11,3,100389.575
2066,11,28,12,3,100536.98666666668
2072,11,28,13,3,100648.00833333335
2078,11,28,14,3,100815.005
2084,11,28,15,3,100949.05166666668
2090,11,28,16,3,101101.435
2096,11,28,17,3,101282.76500000001
2102,11,28,18,3,101407.98499999999
2108,11,28,19,3,101524.16666666667
2114,11,28,20,3,101625.11166666665
2120,11,28,21,3,101736.56000000001
2126,11,28,22,3,101793.33666666667
2132,11,28,23,3,101846.85333333333
2138,11,29,0,4,101865.16833333332
2144,11,29,1,4,101873.38333333335
2150,11,29,2,4,101887.48333333334
2156,11,29,3,4,101850.03333333333
2162,11,29,4,4,101881.65166666666
2168,11,29,5,4,101922.53333333333
2174,11,29,6,4,101969.97333333334
2180,11,29,7,4,102013.63500000001
2186,11,29,8,4,102015.92666666665
2192,11,29,9,4,101985.2
2198,11,29,10,4,101969.96500000001
2204,11,29,11,4,101872.02499999998
2210,11,29,12,4,101816.915
2216,11,29,13,4,101779.03166666668
2222,11,29,14,4,101772.58666666667
2228,11,29,15,4,101751.83166666667
2234,11,29,16,4,101749.42333333334
2240,11,29,17,4,101752.06166666666
2246,11,29,18,4,101727.18666666669
2252,11,29,19,4,101693.20000000001
2256,11,29,23,4,101595.79666666668
2262,11,30,0,5,101530.07
2268,11,30,1,5,101534.24666666666
2274,11,30,2,5,101513.04666666668
2280,11,30,3,5,101503.63666666666
2286,11,30,4,5,101495.42166666668
2292,11,30,5,5,101480.80166666668
2298,11,30,6,5,101510.57166666667
2304,11,30,7,5,101526.25
2310,11,30,8,5,101498.98666666665
2316,11,30,9,5,101494.36833333335
2322,11,30,10,5,101465.585
2328,11,30,11,5,101419.06
2334,11,30,12,5,101321.07166666667
2340,11,30,13,5,101265.125
2346,11,30,14,5,101250.15999999999
2352,11,30,15,5,101255.63166666667
2358,11,30,16,5,101301.50666666665
2364,11,30,17,5,101337.71833333332
2370,11,30,18,5,101428.08
2376,11,30,19,5,101427.89666666667
2382,11,30,20,5,101451.98999999999
2388,11,30,21,5,101480.77166666667
2394,11,30,22,5,101537.13666666667
2400,11,30,23,5,101512.31499999999
2406,12,1,0,6,101547.84333333332
2412,12,1,1,6,101584.55333333334
2418,12,1,2,6,101628.72000000002
2424,12,1,3,6,101646.77500000001
2430,12,1,4,6,101653.04999999999
2436,12,1,5,6,101737.54333333333
2442,12,1,6,6,101737.89833333333
2448,12,1,7,6,101750.00833333335
2454,12,1,8,6,101730.21666666666
2460,12,1,9,6,101755.84500000002
2466,12,1,10,6,101695.25166666666
2472,12,1,11,6,101537.09166666667
2478,12,1,12,6,101503.23166666667
2484,12,1,13,6,101430.67
2490,12,1,14,6,101505.72666666667
2496,12,1,15,6,101458.65333333332
2502,12,1,16,6,101289.60833333334
2508,12,1,17,6,101237.96833333334
2514,12,1,18,6,101176.73
2520,12,1,19,6,101109.86166666665
2526,12,1,20,6,100987.95333333332
2532,12,1,21,6,100893.47166666668
2538,12,1,22,6,100834.22833333333
2544,12,1,23,6,100772.94666666667
2550,12,2,0,0,100611.52666666667
2556,12,2,1,0,100520.85833333334
2562,12,2,2,0,100409.21333333333
2568,12,2,3,0,100327.33
2574,12,2,4,0,100286.7
2580,12,2,5,0,100282.27500000001
2586,12,2,6,0,100271.01833333333
2592,12,2,7,0,100303.17333333334
2598,12,2,8,0,100315.58
2604,12,2,9,0,100377.39
2610,12,2,10,0,100323.97166666666
2616,12,2,11,0,100255.57333333335
2622,12,2,12,0,100175.84999999999
2628,12,2,13,0,100136.98166666667
2634,12,2,14,0,100151.54833333334
2640,12,2,15,0,100148.57666666666
2646,12,2,16,0,100129.33333333333
2652,12,2,17,0,100137.31
2658,12,2,18,0,100158.09833333334
2664,12,2,19,0,100107.69833333335
2670,12,2,20,0,100050.48499999999
2676,12,2,21,0,100029.445
2682,12,2,22,0,99983.80999999998
2688,12,2,23,0,99839.935
2692,12,3,0,1,99790.61333333334
2698,12,3,1,1,99773.69666666667
2704,12,3,2,1,99658.34666666666
2710,12,3,3,1,99671.59333333332
2716,12,3,4,1,99573.79333333332
2722,12,3,5,1,99522.00666666667
2728,12,3,6,1,99468.67666666668
2734,12,3,7,1,99443.84499999999
2740,12,3,8,1,99403.585
2746,12,3,9,1,99365.60166666667
2752,12,3,10,1,99288.30166666668
2758,12,3,11,1,99197.98166666667
2764,12,3,12,1,99130.12166666666
2770,12,3,13,1,99154.72000000002
2776,12,3,14,1,99242.10833333334
2782,12,3,15,1,99305.07333333332
2788,12,3,16,1,99371.01833333333
2794,12,3,17,1,99468.79166666667
2800,12,3,18,1,99526.39000000001
2806,12,3,19,1,99561.65833333334
2812,12,3,20,1,99608.47833333332
2818,12,3,21,1,99601.47166666668
2824,12,3,22,1,99608.34666666666
2830,12,3,23,1,99660.31
2836,12,4,0,2,99732.06833333334
2842,12,4,1,2,99818.72666666668
2848,12,4,2,2,99846.78666666667
2854,12,4,3,2,99835.08666666667
2860,12,4,4,2,99864.61333333334
2866,12,4,5,2,99880.72499999999
2872,12,4,6,2,99932.94166666667
2878,12,4,7,2,99964.34166666667
2884,12,4,8,2,99957.745
2890,12,4,9,2,99978.58
2896,12,4,10,2,99959.74333333333
2902,12,4,11,2,99912.39500000002
2908,12,4,12,2,99833.21500000001
2914,12,4,13,2,99784.92833333334
2920,12,4,14,2,99774.12666666666
2926,12,4,15,2,99762.14666666667
2932,12,4,16,2,99769.45833333333
2938,12,4,17,2,99800.52999999998
2944,12,4,18,2,99812.21999999999
2950,12,4,19,2,99819.53666666667
2956,12,4,20,2,99813.33
2962,12,4,21,2,99799.57333333332
2968,12,4,22,2,99800.50333333334
2974,12,4,23,2,99786.62
2980,12,5,0,3,99777.07833333332
2986,12,5,1,3,99800.23666666665
2992,12,5,2,3,99822.03000000001
2998,12,5,3,3,99836.64833333336
3004,12,5,4,3,99886.72333333333
3010,12,5,5,3,99959.43333333333
3016,12,5,6,3,100030.88666666667
3022,12,5,7,3,100092.30833333333
3028,12,5,8,3,100146.60666666667
3034,12,5,9,3,100189.32333333332
3040,12,5,10,3,100204.85833333334
3046,12,5,11,3,100217.80666666666
3052,12,5,12,3,100226.95333333332
3058,12,5,13,3,100292.13333333335
3064,12,5,14,3,100407.71500000001
3070,12,5,15,3,100504.17
3076,12,5,16,3,100658.50666666667
3082,12,5,17,3,100785.19
3088,12,5,18,3,100887.60333333335
3094,12,5,19,3,100982.62666666666
3100,12,5,20,3,101091.66666666667
3106,12,5,21,3,101174.065
3112,12,5,22,3,101298.31666666665
3118,12,5,23,3,101370.57
