,month,day,hour,weekday,avg_hrly_light
0,10,29,22,1,1707.8
5,10,29,23,1,3307.0833333333335
17,10,30,0,2,4095.0
29,10,30,1,2,4095.0
41,10,30,2,2,4095.0
53,10,30,3,2,4095.0
65,10,30,4,2,4095.0
77,10,30,5,2,4095.0
89,10,30,6,2,4095.0
101,10,30,7,2,3710.3333333333335
113,10,30,8,2,2676.75
125,10,30,9,2,1857.4166666666667
137,10,30,10,2,1295.8333333333333
149,10,30,11,2,1049.0833333333333
161,10,30,12,2,852.5833333333334
173,10,30,13,2,675.8333333333334
185,10,30,14,2,2053.5833333333335
197,10,30,15,2,1704.1666666666667
209,10,30,16,2,2030.5
221,10,30,17,2,3857.9166666666665
233,10,30,18,2,3345.5833333333335
245,10,30,19,2,1721.8333333333333
257,10,30,20,2,2839.1666666666665
269,10,30,21,2,3156.5833333333335
281,10,30,22,2,3554.8333333333335
293,10,30,23,2,4095.0
305,10,31,0,3,4006.6666666666665
317,10,31,1,3,4095.0
329,10,31,2,3,4095.0
341,10,31,3,3,4095.0
353,10,31,4,3,4095.0
365,10,31,5,3,4095.0
377,10,31,6,3,4095.0
389,10,31,7,3,3244.0
401,10,31,8,3,2326.75
413,10,31,9,3,2183.5833333333335
425,10,31,10,3,2031.5
437,10,31,11,3,1670.6666666666667
449,10,31,12,3,1926.5
461,10,31,13,3,1988.9166666666667
473,10,31,14,3,2199.25
485,10,31,15,3,1952.75
497,10,31,16,3,2530.9166666666665
509,10,31,17,3,3016.6666666666665
521,10,31,18,3,3128.0
533,10,31,19,3,3092.4166666666665
545,10,31,20,3,3082.1666666666665
557,10,31,21,3,3083.6666666666665
569,10,31,22,3,3079.4285714285716
0,11,1,9,4,1844.7
10,11,1,10,4,1761.75
22,11,1,11,4,1591.1666666666667
34,11,1,12,4,1026.0833333333333
46,11,1,13,4,661.0
58,11,1,14,4,328.6666666666667
70,11,1,15,4,328.0833333333333
82,11,1,16,4,273.4166666666667
