,month,day,hour,weekday,avg_hrly_light
94,11,1,17,4,2541.0833333333335
106,11,1,18,4,3756.4166666666665
118,11,1,19,4,2017.6666666666667
130,11,1,20,4,3225.5833333333335
142,11,1,21,4,2137.75
154,11,1,22,4,2061.5
166,11,1,23,4,2022.6666666666667
178,11,2,0,5,2041.6666666666667
190,11,2,1,5,2044.4166666666667
202,11,2,2,5,4095.0
214,11,2,3,5,4095.0
226,11,2,4,5,4095.0
238,11,2,5,5,4095.0
250,11,2,6,5,4095.0
262,11,2,7,5,3081.25
274,11,2,8,5,2039.1666666666667
286,11,2,9,5,1839.4166666666667
298,11,2,10,5,1747.75
310,11,2,11,5,1586.25
322,11,2,12,5,1068.5
334,11,2,13,5,677.4166666666666
346,11,2,14,5,321.4166666666667
358,11,2,15,5,342.4166666666667
370,11,2,16,5,289.0833333333333
382,11,2,17,5,2691.0833333333335
394,11,2,18,5,4095.0
406,11,2,19,5,2856.25
418,11,2,20,5,1986.6666666666667
430,11,2,21,5,2075.6666666666665
442,11,2,22,5,2035.75
454,11,2,23,5,4095.0
466,11,3,0,6,4095.0
478,11,3,1,6,4095.0
490,11,3,2,6,4095.0
502,11,3,3,6,4095.0
514,11,3,4,6,4095.0
526,11,3,5,6,4095.0
538,11,3,6,6,4095.0
550,11,3,7,6,3206.8333333333335
562,11,3,8,6,2048.6666666666665
574,11,3,9,6,1854.0
0,11,6,20,2,2166.8888888888887
9,11,6,21,2,2160.25
21,11,6,22,2,2803.25
33,11,6,23,2,3604.5833333333335
45,11,7,0,3,4095.0
57,11,7,1,3,4095.0
69,11,7,2,3,4095.0
81,11,7,3,3,4095.0
93,11,7,4,3,4095.0
105,11,7,5,3,4095.0
117,11,7,6,3,3774.9166666666665
129,11,7,7,3,2787.6666666666665
141,11,7,8,3,2140.0
153,11,7,9,3,2531.8333333333335
165,11,7,10,3,2153.6666666666665
177,11,7,11,3,1827.5833333333333
189,11,7,12,3,2155.4166666666665
201,11,7,13,3,1778.0
213,11,7,14,3,2389.25
225,11,7,15,3,3469.5
237,11,7,16,3,4075.0
249,11,7,17,3,4095.0
261,11,7,18,3,4095.0
273,11,7,19,3,4095.0
285,11,7,20,3,4095.0
0,11,8,9,4,1644.3636363636363
11,11,8,10,4,1352.0833333333333
23,11,8,11,4,1042.6666666666667
35,11,8,12,4,1025.25
47,11,8,13,4,872.4166666666666
59,11,8,14,4,1167.5833333333333
71,11,8,15,4,1817.8333333333333
83,11,8,16,4,3387.1666666666665
95,11,8,17,4,4095.0
107,11,8,18,4,2976.3333333333335
119,11,8,19,4,1861.9166666666667
131,11,8,20,4,1838.3333333333333
143,11,8,21,4,1967.25
155,11,8,22,4,4095.0
167,11,8,23,4,4095.0
179,11,9,0,5,4095.0
191,11,9,1,5,4095.0
203,11,9,2,5,4095.0
215,11,9,3,5,4095.0
227,11,9,4,5,4095.0
239,11,9,5,5,4095.0
251,11,9,6,5,3393.8333333333335
263,11,9,7,5,2155.0
275,11,9,8,5,1852.5
287,11,9,9,5,1572.8333333333333
299,11,9,10,5,1463.4166666666667
311,11,9,11,5,1046.4166666666667
323,11,9,12,5,646.3333333333334
335,11,9,13,5,315.5833333333333
347,11,9,14,5,347.1666666666667
359,11,9,15,5,539.5833333333334
371,11,9,16,5,3158.5
383,11,9,17,5,1967.3333333333333
395,11,9,18,5,1754.0833333333333
407,11,9,19,5,1843.1666666666667
419,11,9,20,5,1827.9166666666667
431,11,9,21,5,1823.3333333333333
443,11,9,22,5,1834.25
455,11,9,23,5,1825.0
467,11,10,0,6,1813.75
479,11,10,1,6,3344.0
491,11,10,2,6,4095.0
503,11,10,3,6,4095.0
515,11,10,4,6,4095.0
527,11,10,5,6,4095.0
539,11,10,6,6,3468.25
551,11,10,7,6,2068.9166666666665
563,11,10,8,6,1670.25
575,11,10,9,6,1493.0
0,11,10,13,6,277.0
2,11,10,14,6,537.0833333333334
14,11,10,15,6,1200.1666666666667
26,11,10,16,6,2604.1666666666665
38,11,10,17,6,2284.3333333333335
50,11,10,18,6,1906.75
62,11,10,19,6,1787.75
74,11,10,20,6,1778.9166666666667
86,11,10,21,6,1770.0833333333333
98,11,10,22,6,1773.1666666666667
110,11,10,23,6,4095.0
122,11,11,0,0,4095.0
134,11,11,1,0,4095.0
146,11,11,2,0,4095.0
158,11,11,3,0,4095.0
170,11,11,4,0,4095.0
182,11,11,5,0,4095.0
194,11,11,6,0,3782.3333333333335
206,11,11,7,0,2743.0
218,11,11,8,0,2728.25
230,11,11,9,0,2608.8333333333335
242,11,11,10,0,2186.0833333333335
254,11,11,11,0,1486.4166666666667
266,11,11,12,0,1595.6666666666667
278,11,11,13,0,1436.3333333333333
290,11,11,14,0,2360.5
302,11,11,15,0,2748.25
314,11,11,16,0,4071.8333333333335
326,11,11,17,0,2970.25
338,11,11,18,0,4095.0
350,11,11,19,0,3542.4166666666665
362,11,11,20,0,3908.3333333333335
374,11,11,21,0,4095.0
386,11,11,22,0,2128.5833333333335
398,11,11,23,0,3938.75
410,11,12,0,1,4095.0
422,11,12,1,1,4095.0
434,11,12,2,1,4095.0
446,11,12,3,1,4095.0
458,11,12,4,1,4095.0
470,11,12,5,1,4095.0
482,11,12,6,1,4024.3333333333335
494,11,12,7,1,3070.5833333333335
506,11,12,8,1,2618.1666666666665
518,11,12,9,1,2301.0
530,11,12,10,1,2773.3333333333335
542,11,12,11,1,2321.5
554,11,12,12,1,2402.0833333333335
566,11,12,13,1,2528.25
578,11,12,14,1,2911.1666666666665
590,11,12,15,1,3464.0833333333335
602,11,12,16,1,4050.6666666666665
614,11,12,17,1,4095.0
626,11,12,18,1,4095.0
638,11,12,19,1,4095.0
650,11,12,20,1,4095.0
662,11,12,21,1,2062.9166666666665
674,11,12,22,1,1757.8333333333333
686,11,12,23,1,1704.25
698,11,13,0,2,3695.0833333333335
710,11,13,1,2,4095.0
722,11,13,2,2,4095.0
734,11,13,3,2,4095.0
746,11,13,4,2,4095.0
758,11,13,5,2,4095.0
770,11,13,6,2,3646.9166666666665
782,11,13,7,2,2213.8333333333335
794,11,13,8,2,1883.25
806,11,13,9,2,1719.5
818,11,13,10,2,1532.5833333333333
830,11,13,11,2,1044.4166666666667
842,11,13,12,2,633.5833333333334
854,11,13,13,2,301.5
0,11,13,18,2,2069.6666666666665
3,11,13,19,2,1877.0833333333333
15,11,13,20,2,1889.6666666666667
27,11,13,21,2,2050.0833333333335
39,11,13,22,2,4095.0
51,11,13,23,2,4095.0
63,11,14,0,3,4095.0
75,11,14,1,3,4095.0
87,11,14,2,3,4095.0
99,11,14,3,3,4095.0
111,11,14,4,3,4095.0
123,11,14,5,3,4095.0
135,11,14,6,3,3906.1666666666665
147,11,14,7,3,2851.0833333333335
159,11,14,8,3,2205.5833333333335
171,11,14,9,3,1903.5833333333333
183,11,14,10,3,1667.5833333333333
195,11,14,11,3,1735.3333333333333
207,11,14,12,3,1516.9166666666667
219,11,14,13,3,1512.1666666666667
231,11,14,14,3,1407.5833333333333
243,11,14,15,3,1540.5
255,11,14,16,3,3797.9166666666665
267,11,14,17,3,4095.0
279,11,14,18,3,4095.0
291,11,14,19,3,4095.0
303,11,14,20,3,4095.0
315,11,14,21,3,4095.0
327,11,14,22,3,3062.3333333333335
339,11,14,23,3,3403.25
351,11,15,0,4,4095.0
363,11,15,1,4,4095.0
375,11,15,2,4,4095.0
387,11,15,3,4,4095.0
399,11,15,4,4,4095.0
411,11,15,5,4,4095.0
423,11,15,6,4,3930.0
435,11,15,7,4,2813.25
447,11,15,8,4,2399.1666666666665
459,11,15,9,4,2258.4166666666665
471,11,15,10,4,2188.1666666666665
483,11,15,11,4,1576.6666666666667
495,11,15,12,4,977.4166666666666
507,11,15,13,4,562.75
519,11,15,14,4,438.0
531,11,15,15,4,920.6666666666666
543,11,15,16,4,3552.3333333333335
555,11,15,17,4,4095.0
567,11,15,18,4,4095.0
579,11,15,19,4,4095.0
591,11,15,20,4,3144.4166666666665
603,11,15,21,4,1934.25
615,11,15,22,4,2686.75
627,11,15,23,4,4095.0
639,11,16,0,5,4095.0
651,11,16,1,5,4095.0
663,11,16,2,5,3562.9166666666665
675,11,16,3,5,4095.0
687,11,16,4,5,4095.0
699,11,16,5,5,4095.0
711,11,16,6,5,3903.6666666666665
723,11,16,7,5,2803.9166666666665
735,11,16,8,5,2442.75
747,11,16,9,5,2328.1666666666665
759,11,16,10,5,2204.6666666666665
771,11,16,11,5,1625.25
783,11,16,12,5,1041.0833333333333
795,11,16,13,5,580.5833333333334
807,11,16,14,5,446.0
819,11,16,15,5,1011.0833333333334
831,11,16,16,5,3501.0
843,11,16,17,5,4095.0
855,11,16,18,5,4095.0
0,11,16,20,5,1989.0
1,11,16,21,5,1728.0833333333333
13,11,16,22,5,1786.25
25,11,16,23,5,2356.6666666666665
37,11,17,0,6,4095.0
49,11,17,1,6,4095.0
61,11,17,2,6,4095.0
73,11,17,3,6,4095.0
85,11,17,4,6,4095.0
97,11,17,5,6,4095.0
109,11,17,6,6,3990.0
121,11,17,7,6,2996.5
133,11,17,8,6,2050.0833333333335
145,11,17,9,6,1990.5833333333333
157,11,17,10,6,1853.3333333333333
169,11,17,11,6,1616.0833333333333
181,11,17,12,6,1912.5
193,11,17,13,6,2059.75
205,11,17,14,6,2119.3333333333335
217,11,17,15,6,2565.75
229,11,17,16,6,2753.1666666666665
241,11,17,17,6,2823.5833333333335
253,11,17,18,6,2832.25
265,11,17,19,6,2819.0833333333335
277,11,17,20,6,2808.8333333333335
289,11,17,21,6,2858.1666666666665
301,11,17,22,6,3383.25
313,11,17,23,6,4095.0
325,11,18,0,0,4095.0
337,11,18,1,0,4095.0
349,11,18,2,0,4095.0
361,11,18,3,0,4095.0
373,11,18,4,0,4095.0
385,11,18,5,0,4095.0
397,11,18,6,0,4052.6666666666665
409,11,18,7,0,2957.25
421,11,18,8,0,2737.0
433,11,18,9,0,2465.6666666666665
445,11,18,10,0,2319.0
457,11,18,11,0,2345.3333333333335
469,11,18,12,0,2499.1666666666665
481,11,18,13,0,2680.25
493,11,18,14,0,2729.6666666666665
505,11,18,15,0,3111.4166666666665
517,11,18,16,0,3474.3333333333335
529,11,18,17,0,3007.75
541,11,18,18,0,3013.8333333333335
553,11,18,19,0,3983.25
565,11,18,20,0,2932.5833333333335
577,11,18,21,0,1857.0
589,11,18,22,0,1840.3333333333333
601,11,18,23,0,2435.3333333333335
613,11,19,0,1,4095.0
625,11,19,1,1,4095.0
637,11,19,2,1,4095.0
649,11,19,3,1,4095.0
661,11,19,4,1,4095.0
673,11,19,5,1,4095.0
685,11,19,6,1,4091.6666666666665
697,11,19,7,1,3485.5
709,11,19,8,1,2382.8333333333335
721,11,19,9,1,2265.4166666666665
733,11,19,10,1,2204.5
745,11,19,11,1,2139.5
757,11,19,12,1,1968.3333333333333
769,11,19,13,1,1727.4166666666667
781,11,19,14,1,2548.8333333333335
793,11,19,15,1,3083.3333333333335
805,11,19,16,1,4060.6666666666665
817,11,19,17,1,4095.0
829,11,19,18,1,1902.8333333333333
841,11,19,19,1,3354.6666666666665
853,11,19,20,1,4095.0
0,11,26,19,1,2112.25
4,11,26,20,1,2008.25
16,11,26,21,1,2007.0
28,11,26,22,1,2356.8333333333335
40,11,26,23,1,4095.0
52,11,27,0,2,4095.0
64,11,27,1,2,4095.0
76,11,27,2,2,4095.0
88,11,27,3,2,4095.0
100,11,27,4,2,4095.0
112,11,27,5,2,4095.0
124,11,27,6,2,3977.3333333333335
136,11,27,7,2,2686.5
148,11,27,8,2,1849.0
160,11,27,9,2,1444.6666666666667
172,11,27,10,2,1440.8333333333333
184,11,27,11,2,1576.0833333333333
196,11,27,12,2,1842.8333333333333
208,11,27,13,2,1548.25
220,11,27,14,2,1348.75
232,11,27,15,2,2814.1666666666665
244,11,27,16,2,1598.5
256,11,27,17,2,1522.8333333333333
268,11,27,18,2,1510.5833333333333
280,11,27,19,2,1513.5
292,11,27,20,2,1528.3333333333333
304,11,27,21,2,1525.1666666666667
316,11,27,22,2,1509.0
328,11,27,23,2,3678.3333333333335
340,11,28,0,3,3887.25
352,11,28,1,3,4095.0
364,11,28,2,3,4095.0
376,11,28,3,3,4095.0
388,11,28,4,3,4095.0
400,11,28,5,3,4095.0
412,11,28,6,3,4093.6666666666665
424,11,28,7,3,3455.6666666666665
436,11,28,8,3,2652.6666666666665
448,11,28,9,3,1609.1666666666667
460,11,28,10,3,2019.5833333333333
472,11,28,11,3,2257.9166666666665
484,11,28,12,3,2274.5833333333335
496,11,28,13,3,2480.5833333333335
508,11,28,14,3,2426.1666666666665
520,11,28,15,3,1032.6666666666667
532,11,28,16,3,3511.4166666666665
544,11,28,17,3,4095.0
556,11,28,18,3,4095.0
568,11,28,19,3,4095.0
580,11,28,20,3,4095.0
592,11,28,21,3,4095.0
604,11,28,22,3,4095.0
616,11,28,23,3,4095.0
628,11,29,0,4,4095.0
640,11,29,1,4,4095.0
652,11,29,2,4,4095.0
664,11,29,3,4,4095.0
676,11,29,4,4,4095.0
688,11,29,5,4,4095.0
700,11,29,6,4,3955.5
712,11,29,7,4,2507.5
724,11,29,8,4,1984.1666666666667
736,11,29,9,4,1798.0833333333333
748,11,29,10,4,1569.4166666666667
760,11,29,11,4,1137.25
772,11,29,12,4,634.75
784,11,29,13,4,571.5
796,11,29,14,4,503.6666666666667
808,11,29,15,4,1305.75
820,11,29,16,4,3731.1666666666665
832,11,29,17,4,4095.0
844,11,29,18,4,4095.0
856,11,29,19,4,4095.0
0,11,29,23,4,4095.0
12,11,30,0,5,4095.0
24,11,30,1,5,4095.0
36,11,30,2,5,4095.0
48,11,30,3,5,4095.0
60,11,30,4,5,4095.0
72,11,30,5,5,4095.0
84,11,30,6,5,4007.5
96,11,30,7,5,2673.0833333333335
108,11,30,8,5,2098.9166666666665
120,11,30,9,5,1913.1666666666667
132,11,30,10,5,1756.5833333333333
144,11,30,11,5,1295.5
156,11,30,12,5,746.0
168,11,30,13,5,352.25
180,11,30,14,5,285.25
192,11,30,15,5,1059.5833333333333
204,11,30,16,5,3698.1666666666665
216,11,30,17,5,4095.0
228,11,30,18,5,4095.0
240,11,30,19,5,4095.0
252,11,30,20,5,3719.1666666666665
264,11,30,21,5,4095.0
276,11,30,22,5,4095.0
288,11,30,23,5,4095.0
300,12,1,0,6,4095.0
312,12,1,1,6,4095.0
324,12,1,2,6,4095.0
336,12,1,3,6,4095.0
348,12,1,4,6,4095.0
360,12,1,5,6,4095.0
372,12,1,6,6,4039.3333333333335
384,12,1,7,6,2664.5
396,12,1,8,6,1907.75
408,12,1,9,6,1688.4166666666667
420,12,1,10,6,2099.6666666666665
432,12,1,11,6,2060.75
444,12,1,12,6,2184.25
456,12,1,13,6,2464.25
468,12,1,14,6,2913.25
480,12,1,15,6,2946.5833333333335
492,12,1,16,6,2969.8333333333335
504,12,1,17,6,2960.75
516,12,1,18,6,4092.6666666666665
528,12,1,19,6,2244.25
540,12,1,20,6,1899.1666666666667
552,12,1,21,6,1899.25
564,12,1,22,6,1909.0
576,12,1,23,6,2297.3333333333335
588,12,2,0,0,4095.0
600,12,2,1,0,4095.0
612,12,2,2,0,4095.0
624,12,2,3,0,4095.0
636,12,2,4,0,4095.0
648,12,2,5,0,4095.0
660,12,2,6,0,4095.0
672,12,2,7,0,3508.6666666666665
684,12,2,8,0,2755.75
696,12,2,9,0,2456.9166666666665
708,12,2,10,0,2031.5833333333333
720,12,2,11,0,1812.1666666666667
732,12,2,12,0,2224.5
744,12,2,13,0,2313.8333333333335
756,12,2,14,0,2595.0833333333335
768,12,2,15,0,3283.75
780,12,2,16,0,3451.5
792,12,2,17,0,3486.8333333333335
804,12,2,18,0,3488.8333333333335
816,12,2,19,0,3480.75
828,12,2,20,0,2699.1666666666665
840,12,2,21,0,2085.75
852,12,2,22,0,2090.4166666666665
0,12,2,23,0,1626.75
8,12,3,0,1,1637.6666666666667
20,12,3,1,1,4095.0
32,12,3,2,1,4095.0
44,12,3,3,1,4095.0
56,12,3,4,1,4095.0
68,12,3,5,1,4095.0
80,12,3,6,1,4095.0
92,12,3,7,1,3536.1666666666665
104,12,3,8,1,2486.25
116,12,3,9,1,1992.75
128,12,3,10,1,1567.0833333333333
140,12,3,11,1,1407.1666666666667
152,12,3,12,1,1506.4166666666667
164,12,3,13,1,1735.4166666666667
176,12,3,14,1,2087.6666666666665
188,12,3,15,1,2334.6666666666665
200,12,3,16,1,3819.4166666666665
212,12,3,17,1,4095.0
224,12,3,18,1,3313.75
236,12,3,19,1,1657.8333333333333
248,12,3,20,1,1644.4166666666667
260,12,3,21,1,1646.6666666666667
272,12,3,22,1,1609.75
284,12,3,23,1,1622.6666666666667
296,12,4,0,2,2857.1666666666665
308,12,4,1,2,4095.0
320,12,4,2,2,4095.0
332,12,4,3,2,4095.0
344,12,4,4,2,4095.0
356,12,4,5,2,4095.0
368,12,4,6,2,4059.6666666666665
380,12,4,7,2,2656.6666666666665
392,12,4,8,2,1598.9166666666667
404,12,4,9,2,1369.75
416,12,4,10,2,1219.3333333333333
428,12,4,11,2,1454.9166666666667
440,12,4,12,2,1448.9166666666667
452,12,4,13,2,1430.1666666666667
464,12,4,14,2,1809.0
476,12,4,15,2,2834.6666666666665
488,12,4,16,2,3192.9166666666665
500,12,4,17,2,3111.0833333333335
512,12,4,18,2,2915.8333333333335
524,12,4,19,2,2902.8333333333335
536,12,4,20,2,2909.0833333333335
548,12,4,21,2,3188.6666666666665
560,12,4,22,2,3262.9166666666665
572,12,4,23,2,2912.1666666666665
584,12,5,0,3,4015.6666666666665
596,12,5,1,3,4095.0
608,12,5,2,3,4095.0
620,12,5,3,3,4095.0
632,12,5,4,3,4095.0
644,12,5,5,3,4095.0
656,12,5,6,3,4042.1666666666665
668,12,5,7,3,2618.1666666666665
680,12,5,8,3,1840.9166666666667
692,12,5,9,3,1604.5
704,12,5,10,3,1423.5
716,12,5,11,3,1085.9166666666667
728,12,5,12,3,595.25
740,12,5,13,3,1463.6666666666667
752,12,5,14,3,2245.0833333333335
764,12,5,15,3,1925.75
776,12,5,16,3,3063.5
788,12,5,17,3,2991.75
800,12,5,18,3,2954.3333333333335
812,12,5,19,3,2665.3333333333335
824,12,5,20,3,1778.0
836,12,5,21,3,1786.5
848,12,5,22,3,1787.25
860,12,5,23,3,1786.25
