,month,day,hour,weekday,tot_motion_count
0,10,29,22,1,81.0
1440,10,29,23,1,30.0
5040,10,30,0,2,6.0
8640,10,30,1,2,0.0
12240,10,30,2,2,6.0
15840,10,30,3,2,0.0
19440,10,30,4,2,0.0
23040,10,30,5,2,0.0
26640,10,30,6,2,0.0
30240,10,30,7,2,0.0
33840,10,30,8,2,11.0
37440,10,30,9,2,106.0
41040,10,30,10,2,4.0
44640,10,30,11,2,0.0
48240,10,30,12,2,0.0
51840,10,30,13,2,2.0
55440,10,30,14,2,0.0
59040,10,30,15,2,3.0
62640,10,30,16,2,7.0
66240,10,30,17,2,15.0
69840,10,30,18,2,10.0
73440,10,30,19,2,0.0
77040,10,30,20,2,37.0
80640,10,30,21,2,29.0
84240,10,30,22,2,13.0
87840,10,30,23,2,0.0
91440,10,31,0,3,80.0
95040,10,31,1,3,0.0
98640,10,31,2,3,0.0
102240,10,31,3,3,0.0
105840,10,31,4,3,0.0
109440,10,31,5,3,0.0
113040,10,31,6,3,0.0
116640,10,31,7,3,31.0
120240,10,31,8,3,10.0
123840,10,31,9,3,66.0
127440,10,31,10,3,42.0
131040,10,31,11,3,0.0
134640,10,31,12,3,0.0
138240,10,31,13,3,0.0
141840,10,31,14,3,0.0
145440,10,31,15,3,0.0
149040,10,31,16,3,48.0
152640,10,31,17,3,10.0
156240,10,31,18,3,18.0
159840,10,31,19,3,13.0
163440,10,31,20,3,0.0
167040,10,31,21,3,0.0
170640,10,31,22,3,29.0
0,11,1,9,4,180.0
2760,11,1,10,4,30.0
6360,11,1,11,4,25.0
9960,11,1,12,4,80.0
13560,11,1,13,4,0.0
17160,11,1,14,4,0.0
20760,11,1,15,4,0.0
24360,11,1,16,4,0.0
27960,11,1,17,4,0.0
31560,11,1,18,4,26.0
35160,11,1,19,4,42.0
38760,11,1,20,4,92.0
42360,11,1,21,4,19.0
45960,11,1,22,4,0.0
49560,11,1,23,4,0.0
53160,11,2,0,5,0.0
56760,11,2,1,5,41.0
60360,11,2,2,5,0.0
63960,11,2,3,5,0.0
