,month,day,hour,weekday,tot_motion_count
67560,11,2,4,5,0.0
71160,11,2,5,5,0.0
74760,11,2,6,5,0.0
78360,11,2,7,5,0.0
81960,11,2,8,5,12.0
85560,11,2,9,5,86.0
89160,11,2,10,5,9.0
92760,11,2,11,5,123.0
96360,11,2,12,5,69.0
99960,11,2,13,5,126.0
103560,11,2,14,5,0.0
107160,11,2,15,5,0.0
110760,11,2,16,5,0.0
114360,11,2,17,5,0.0
117960,11,2,18,5,0.0
121560,11,2,19,5,146.0
125160,11,2,20,5,144.0
128760,11,2,21,5,30.0
132360,11,2,22,5,462.0
135960,11,2,23,5,13.0
139560,11,3,0,6,0.0
143160,11,3,1,6,0.0
146760,11,3,2,6,0.0
150360,11,3,3,6,0.0
153960,11,3,4,6,0.0
157560,11,3,5,6,0.0
161160,11,3,6,6,3.0
164760,11,3,7,6,3.0
168360,11,3,8,6,20.0
171960,11,3,9,6,16.0
0,11,6,20,2,31.0
2700,11,6,21,2,0.0
6300,11,6,22,2,21.0
9900,11,6,23,2,0.0
13500,11,7,0,3,0.0
17100,11,7,1,3,0.0
20700,11,7,2,3,0.0
24300,11,7,3,3,0.0
27900,11,7,4,3,0.0
31500,11,7,5,3,0.0
35100,11,7,6,3,0.0
38700,11,7,7,3,0.0
42300,11,7,8,3,43.0
45900,11,7,9,3,90.0
49500,11,7,10,3,0.0
53100,11,7,11,3,0.0
56700,11,7,12,3,0.0
60300,11,7,13,3,0.0
63900,11,7,14,3,0.0
67500,11,7,15,3,0.0
71100,11,7,16,3,0.0
74700,11,7,17,3,0.0
78300,11,7,18,3,0.0
81900,11,7,19,3,0.0
85500,11,7,20,3,0.0
0,11,8,9,4,90.0
3300,11,8,10,4,46.0
6900,11,8,11,4,0.0
10500,11,8,12,4,0.0
14100,11,8,13,4,0.0
17700,11,8,14,4,0.0
21300,11,8,15,4,0.0
24900,11,8,16,4,0.0
28500,11,8,17,4,0.0
32100,11,8,18,4,26.0
35700,11,8,19,4,55.0
39300,11,8,20,4,46.0
42900,11,8,21,4,21.0
46500,11,8,22,4,7.0
50100,11,8,23,4,0.0
53700,11,9,0,5,0.0
57300,11,9,1,5,0.0
60900,11,9,2,5,0.0
64500,11,9,3,5,0.0
68100,11,9,4,5,0.0
71700,11,9,5,5,0.0
75300,11,9,6,5,0.0
78900,11,9,7,5,0.0
82500,11,9,8,5,6.0
86100,11,9,9,5,50.0
89700,11,9,10,5,0.0
93300,11,9,11,5,19.0
96900,11,9,12,5,58.0
100500,11,9,13,5,0.0
104100,11,9,14,5,0.0
107700,11,9,15,5,0.0
111300,11,9,16,5,0.0
114900,11,9,17,5,21.0
118500,11,9,18,5,57.0
122100,11,9,19,5,0.0
125700,11,9,20,5,0.0
129300,11,9,21,5,0.0
132900,11,9,22,5,0.0
136500,11,9,23,5,0.0
140100,11,10,0,6,0.0
143700,11,10,1,6,31.0
147300,11,10,2,6,0.0
150900,11,10,3,6,0.0
154500,11,10,4,6,0.0
158100,11,10,5,6,0.0
161700,11,10,6,6,0.0
165300,11,10,7,6,7.0
168900,11,10,8,6,0.0
172500,11,10,9,6,0.0
0,11,10,13,6,34.0
540,11,10,14,6,34.0
4140,11,10,15,6,0.0
7740,11,10,16,6,33.0
11340,11,10,17,6,94.0
14940,11,10,18,6,26.0
18540,11,10,19,6,41.0
22140,11,10,20,6,57.0
25740,11,10,21,6,13.0
29340,11,10,22,6,31.0
32940,11,10,23,6,0.0
36540,11,11,0,0,0.0
40140,11,11,1,0,0.0
43740,11,11,2,0,0.0
47340,11,11,3,0,0.0
50940,11,11,4,0,0.0
54540,11,11,5,0,0.0
58140,11,11,6,0,0.0
61740,11,11,7,0,0.0
65340,11,11,8,0,61.0
68940,11,11,9,0,8.0
72540,11,11,10,0,55.0
76140,11,11,11,0,0.0
79740,11,11,12,0,0.0
83340,11,11,13,0,0.0
86940,11,11,14,0,0.0
90540,11,11,15,0,0.0
94140,11,11,16,0,0.0
97740,11,11,17,0,103.0
101340,11,11,18,0,0.0
104940,11,11,19,0,49.0
108540,11,11,20,0,29.0
112140,11,11,21,0,0.0
115740,11,11,22,0,293.0
119340,11,11,23,0,14.0
122940,11,12,0,1,0.0
126540,11,12,1,1,0.0
130140,11,12,2,1,0.0
133740,11,12,3,1,6.0
137340,11,12,4,1,0.0
140940,11,12,5,1,0.0
144540,11,12,6,1,0.0
148140,11,12,7,1,0.0
151740,11,12,8,1,16.0
155340,11,12,9,1,48.0
158940,11,12,10,1,0.0
162540,11,12,11,1,0.0
166140,11,12,12,1,0.0
169740,11,12,13,1,0.0
173340,11,12,14,1,0.0
176940,11,12,15,1,0.0
180540,11,12,16,1,0.0
184140,11,12,17,1,0.0
187740,11,12,18,1,0.0
191340,11,12,19,1,0.0
194940,11,12,20,1,0.0
198540,11,12,21,1,83.0
202140,11,12,22,1,21.0
205740,11,12,23,1,70.0
209340,11,13,0,2,5.0
212940,11,13,1,2,0.0
216540,11,13,2,2,0.0
220140,11,13,3,2,5.0
223740,11,13,4,2,0.0
227340,11,13,5,2,0.0
230940,11,13,6,2,0.0
234540,11,13,7,2,0.0
238140,11,13,8,2,78.0
241740,11,13,9,2,179.0
245340,11,13,10,2,33.0
248940,11,13,11,2,0.0
252540,11,13,12,2,0.0
256140,11,13,13,2,0.0
0,11,13,18,2,51.0
900,11,13,19,2,9.0
4500,11,13,20,2,23.0
8100,11,13,21,2,127.0
11700,11,13,22,2,0.0
15300,11,13,23,2,0.0
18900,11,14,0,3,0.0
22500,11,14,1,3,0.0
26100,11,14,2,3,0.0
29700,11,14,3,3,0.0
33300,11,14,4,3,0.0
36900,11,14,5,3,0.0
40500,11,14,6,3,0.0
44100,11,14,7,3,0.0
47700,11,14,8,3,35.0
51300,11,14,9,3,24.0
54900,11,14,10,3,38.0
58500,11,14,11,3,14.0
62100,11,14,12,3,47.0
65700,11,14,13,3,33.0
69300,11,14,14,3,0.0
72900,11,14,15,3,0.0
76500,11,14,16,3,0.0
80100,11,14,17,3,0.0
83700,11,14,18,3,0.0
87300,11,14,19,3,0.0
90900,11,14,20,3,0.0
94500,11,14,21,3,0.0
98100,11,14,22,3,7.0
101700,11,14,23,3,24.0
105300,11,15,0,4,0.0
108900,11,15,1,4,0.0
112500,11,15,2,4,0.0
116100,11,15,3,4,0.0
119700,11,15,4,4,0.0
123300,11,15,5,4,0.0
126900,11,15,6,4,0.0
130500,11,15,7,4,5.0
134100,11,15,8,4,32.0
137700,11,15,9,4,10.0
141300,11,15,10,4,45.0
144900,11,15,11,4,42.0
148500,11,15,12,4,0.0
152100,11,15,13,4,0.0
155700,11,15,14,4,0.0
159300,11,15,15,4,0.0
162900,11,15,16,4,0.0
166500,11,15,17,4,0.0
170100,11,15,18,4,0.0
173700,11,15,19,4,0.0
177300,11,15,20,4,22.0
180900,11,15,21,4,43.0
184500,11,15,22,4,4.0
188100,11,15,23,4,0.0
191700,11,16,0,5,0.0
195300,11,16,1,5,0.0
198900,11,16,2,5,10.0
202500,11,16,3,5,0.0
206100,11,16,4,5,0.0
209700,11,16,5,5,0.0
213300,11,16,6,5,0.0
216900,11,16,7,5,0.0
220500,11,16,8,5,0.0
224100,11,16,9,5,5.0
227700,11,16,10,5,30.0
231300,11,16,11,5,38.0
234900,11,16,12,5,169.0
238500,11,16,13,5,0.0
242100,11,16,14,5,0.0
245700,11,16,15,5,0.0
249300,11,16,16,5,0.0
252900,11,16,17,5,0.0
256500,11,16,18,5,0.0
0,11,16,20,5,10.0
240,11,16,21,5,26.0
3840,11,16,22,5,44.0
7440,11,16,23,5,45.0
11040,11,17,0,6,0.0
14640,11,17,1,6,0.0
18240,11,17,2,6,0.0
21840,11,17,3,6,0.0
25440,11,17,4,6,0.0
29040,11,17,5,6,0.0
32640,11,17,6,6,0.0
36240,11,17,7,6,3.0
39840,11,17,8,6,4.0
43440,11,17,9,6,230.0
47040,11,17,10,6,19.0
50640,11,17,11,6,0.0
54240,11,17,12,6,0.0
57840,11,17,13,6,33.0
61440,11,17,14,6,27.0
65040,11,17,15,6,42.0
68640,11,17,16,6,100.0
72240,11,17,17,6,37.0
75840,11,17,18,6,19.0
79440,11,17,19,6,28.0
83040,11,17,20,6,19.0
86640,11,17,21,6,16.0
90240,11,17,22,6,18.0
93840,11,17,23,6,0.0
97440,11,18,0,0,0.0
101040,11,18,1,0,0.0
104640,11,18,2,0,0.0
108240,11,18,3,0,0.0
111840,11,18,4,0,0.0
115440,11,18,5,0,0.0
119040,11,18,6,0,0.0
122640,11,18,7,0,0.0
126240,11,18,8,0,40.0
129840,11,18,9,0,4.0
133440,11,18,10,0,0.0
137040,11,18,11,0,0.0
140640,11,18,12,0,0.0
144240,11,18,13,0,48.0
147840,11,18,14,0,9.0
151440,11,18,15,0,20.0
155040,11,18,16,0,14.0
158640,11,18,17,0,4.0
162240,11,18,18,0,42.0
165840,11,18,19,0,0.0
169440,11,18,20,0,14.0
173040,11,18,21,0,0.0
176640,11,18,22,0,18.0
180240,11,18,23,0,19.0
183840,11,19,0,1,0.0
187440,11,19,1,1,0.0
191040,11,19,2,1,0.0
194640,11,19,3,1,0.0
198240,11,19,4,1,0.0
201840,11,19,5,1,0.0
205440,11,19,6,1,0.0
209040,11,19,7,1,22.0
212640,11,19,8,1,23.0
216240,11,19,9,1,52.0
219840,11,19,10,1,148.0
223440,11,19,11,1,51.0
227040,11,19,12,1,240.0
230640,11,19,13,1,51.0
234240,11,19,14,1,11.0
237840,11,19,15,1,0.0
241440,11,19,16,1,0.0
245040,11,19,17,1,21.0
248640,11,19,18,1,16.0
252240,11,19,19,1,24.0
255840,11,19,20,1,0.0
0,11,26,19,1,186.0
1080,11,26,20,1,64.0
4680,11,26,21,1,59.0
8280,11,26,22,1,22.0
11880,11,26,23,1,0.0
15480,11,27,0,2,0.0
19080,11,27,1,2,0.0
22680,11,27,2,2,0.0
26280,11,27,3,2,0.0
29880,11,27,4,2,0.0
33480,11,27,5,2,0.0
37080,11,27,6,2,0.0
40680,11,27,7,2,6.0
44280,11,27,8,2,28.0
47880,11,27,9,2,39.0
51480,11,27,10,2,0.0
55080,11,27,11,2,0.0
58680,11,27,12,2,0.0
62280,11,27,13,2,0.0
65880,11,27,14,2,0.0
69480,11,27,15,2,16.0
73080,11,27,16,2,167.0
76680,11,27,17,2,137.0
80280,11,27,18,2,78.0
83880,11,27,19,2,29.0
87480,11,27,20,2,25.0
91080,11,27,21,2,35.0
94680,11,27,22,2,6.0
98280,11,27,23,2,55.0
101880,11,28,0,3,33.0
105480,11,28,1,3,0.0
109080,11,28,2,3,0.0
112680,11,28,3,3,0.0
116280,11,28,4,3,0.0
119880,11,28,5,3,0.0
123480,11,28,6,3,6.0
127080,11,28,7,3,0.0
130680,11,28,8,3,2.0
134280,11,28,9,3,30.0
137880,11,28,10,3,0.0
141480,11,28,11,3,87.0
145080,11,28,12,3,11.0
148680,11,28,13,3,0.0
152280,11,28,14,3,150.0
155880,11,28,15,3,74.0
159480,11,28,16,3,0.0
163080,11,28,17,3,0.0
166680,11,28,18,3,0.0
170280,11,28,19,3,0.0
173880,11,28,20,3,0.0
177480,11,28,21,3,0.0
181080,11,28,22,3,0.0
184680,11,28,23,3,0.0
188280,11,29,0,4,0.0
191880,11,29,1,4,0.0
195480,11,29,2,4,0.0
199080,11,29,3,4,0.0
202680,11,29,4,4,0.0
206280,11,29,5,4,0.0
209880,11,29,6,4,0.0
213480,11,29,7,4,0.0
217080,11,29,8,4,0.0
220680,11,29,9,4,0.0
224280,11,29,10,4,0.0
227880,11,29,11,4,0.0
231480,11,29,12,4,0.0
235080,11,29,13,4,0.0
238680,11,29,14,4,0.0
242280,11,29,15,4,0.0
245880,11,29,16,4,0.0
249480,11,29,17,4,0.0
253080,11,29,18,4,0.0
256680,11,29,19,4,0.0
0,11,29,23,4,19.0
3540,11,30,0,5,0.0
7140,11,30,1,5,0.0
10740,11,30,2,5,0.0
14340,11,30,3,5,0.0
17940,11,30,4,5,0.0
21540,11,30,5,5,0.0
25140,11,30,6,5,6.0
28740,11,30,7,5,0.0
32340,11,30,8,5,0.0
35940,11,30,9,5,0.0
39540,11,30,10,5,72.0
43140,11,30,11,5,11.0
46740,11,30,12,5,22.0
50340,11,30,13,5,10.0
53940,11,30,14,5,0.0
57540,11,30,15,5,0.0
61140,11,30,16,5,0.0
64740,11,30,17,5,0.0
68340,11,30,18,5,0.0
71940,11,30,19,5,0.0
75540,11,30,20,5,109.0
79140,11,30,21,5,0.0
82740,11,30,22,5,0.0
86340,11,30,23,5,0.0
89940,12,1,0,6,0.0
93540,12,1,1,6,0.0
97140,12,1,2,6,0.0
100740,12,1,3,6,0.0
104340,12,1,4,6,0.0
107940,12,1,5,6,0.0
111540,12,1,6,6,0.0
115140,12,1,7,6,16.0
118740,12,1,8,6,37.0
122340,12,1,9,6,112.0
125940,12,1,10,6,0.0
129540,12,1,11,6,0.0
133140,12,1,12,6,0.0
136740,12,1,13,6,0.0
140340,12,1,14,6,65.0
143940,12,1,15,6,35.0
147540,12,1,16,6,10.0
151140,12,1,17,6,112.0
154740,12,1,18,6,4.0
158340,12,1,19,6,102.0
161940,12,1,20,6,44.0
165540,12,1,21,6,32.0
169140,12,1,22,6,11.0
172740,12,1,23,6,34.0
176340,12,2,0,0,0.0
179940,12,2,1,0,0.0
183540,12,2,2,0,0.0
187140,12,2,3,0,0.0
190740,12,2,4,0,0.0
194340,12,2,5,0,0.0
197940,12,2,6,0,0.0
201540,12,2,7,0,0.0
205140,12,2,8,0,72.0
208740,12,2,9,0,54.0
212340,12,2,10,0,97.0
215940,12,2,11,0,13.0
219540,12,2,12,0,161.0
223140,12,2,13,0,0.0
226740,12,2,14,0,0.0
230340,12,2,15,0,62.0
233940,12,2,16,0,47.0
237540,12,2,17,0,18.0
241140,12,2,18,0,14.0
244740,12,2,19,0,21.0
248340,12,2,20,0,42.0
251940,12,2,21,0,11.0
255540,12,2,22,0,25.0
259140,12,2,23,0,38.0
2280,12,3,0,1,14.0
5880,12,3,1,1,0.0
9480,12,3,2,1,0.0
13080,12,3,3,1,0.0
16680,12,3,4,1,0.0
20280,12,3,5,1,0.0
23880,12,3,6,1,0.0
27480,12,3,7,1,0.0
31080,12,3,8,1,42.0
34680,12,3,9,1,54.0
38280,12,3,10,1,9.0
41880,12,3,11,1,58.0
45480,12,3,12,1,33.0
49080,12,3,13,1,0.0
52680,12,3,14,1,0.0
56280,12,3,15,1,0.0
59880,12,3,16,1,0.0
63480,12,3,17,1,0.0
67080,12,3,18,1,30.0
70680,12,3,19,1,31.0
74280,12,3,20,1,174.0
77880,12,3,21,1,362.0
81480,12,3,22,1,21.0
85080,12,3,23,1,23.0
88680,12,4,0,2,20.0
92280,12,4,1,2,0.0
95880,12,4,2,2,0.0
99480,12,4,3,2,0.0
103080,12,4,4,2,0.0
106680,12,4,5,2,0.0
110280,12,4,6,2,0.0
113880,12,4,7,2,0.0
117480,12,4,8,2,38.0
121080,12,4,9,2,158.0
124680,12,4,10,2,59.0
128280,12,4,11,2,24.0
131880,12,4,12,2,22.0
135480,12,4,13,2,0.0
139080,12,4,14,2,0.0
142680,12,4,15,2,106.0
146280,12,4,16,2,30.0
149880,12,4,17,2,71.0
153480,12,4,18,2,43.0
157080,12,4,19,2,150.0
160680,12,4,20,2,82.0
164280,12,4,21,2,37.0
167880,12,4,22,2,3.0
171480,12,4,23,2,45.0
175080,12,5,0,3,11.0
178680,12,5,1,3,0.0
182280,12,5,2,3,0.0
185880,12,5,3,3,0.0
189480,12,5,4,3,0.0
193080,12,5,5,3,0.0
196680,12,5,6,3,0.0
200280,12,5,7,3,14.0
203880,12,5,8,3,33.0
207480,12,5,9,3,85.0
211080,12,5,10,3,34.0
214680,12,5,11,3,48.0
218280,12,5,12,3,61.0
221880,12,5,13,3,0.0
225480,12,5,14,3,0.0
229080,12,5,15,3,43.0
232680,12,5,16,3,32.0
236280,12,5,17,3,65.0
239880,12,5,18,3,37.0
243480,12,5,19,3,65.0
247080,12,5,20,3,0.0
250680,12,5,21,3,0.0
254280,12,5,22,3,16.0
257880,12,5,23,3,0.0
