,day,hour,month,weekday,avg_hrly_hum
0,29,22,10,1,47.6
1,29,23,10,1,47.6
3,30,0,10,2,47.650000000000006
5,30,1,10,2,47.6
7,30,2,10,2,47.45
9,30,3,10,2,47.349999999999994
11,30,4,10,2,47.45
13,30,5,10,2,47.95
15,30,6,10,2,48.150000000000006
17,30,7,10,2,48.0
19,30,8,10,2,47.55
21,30,9,10,2,48.05
23,30,10,10,2,48.6
25,30,11,10,2,49.0
27,30,12,10,2,49.2
29,30,13,10,2,49.3
31,30,14,10,2,49.5
33,30,15,10,2,51.6
35,30,16,10,2,49.35
37,30,17,10,2,50.55
39,30,18,10,2,52.2
41,30,19,10,2,56.3
43,30,20,10,2,56.5
45,30,21,10,2,56.05
47,30,22,10,2,54.25
49,30,23,10,2,53.3
51,31,0,10,3,53.4
53,31,1,10,3,53.4
55,31,2,10,3,53.349999999999994
57,31,3,10,3,53.5
59,31,4,10,3,53.849999999999994
61,31,5,10,3,54.05
63,31,6,10,3,54.2
65,31,7,10,3,55.55
67,31,8,10,3,57.35
69,31,9,10,3,57.9
71,31,10,10,3,58.2
73,31,11,10,3,59.25
75,31,12,10,3,60.95
77,31,13,10,3,61.85
79,31,14,10,3,63.349999999999994
81,31,15,10,3,64.5
83,31,16,10,3,64.65
85,31,17,10,3,62.75
87,31,18,10,3,63.05
89,31,19,10,3,63.349999999999994
91,31,20,10,3,63.4
93,31,21,10,3,63.4
95,31,22,10,3,63.5
96,1,9,11,4,38.3
98,1,10,11,4,36.9
100,1,11,11,4,36.1
102,1,12,11,4,35.75
104,1,13,11,4,35.6
106,1,14,11,4,35.25
108,1,15,11,4,34.7
110,1,16,11,4,33.95
112,1,17,11,4,33.2
114,1,18,11,4,33.95
116,1,19,11,4,34.45
118,1,20,11,4,34.75
120,1,21,11,4,35.05
122,1,22,11,4,35.150000000000006
124,1,23,11,4,35.849999999999994
126,2,0,11,5,35.849999999999994
128,2,1,11,5,35.849999999999994
130,2,2,11,5,35.849999999999994
132,2,3,11,5,35.9
134,2,4,11,5,36.2
136,2,5,11,5,36.2
138,2,6,11,5,36.25
140,2,7,11,5,36.4
142,2,8,11,5,36.0
144,2,9,11,5,37.45
146,2,10,11,5,38.349999999999994
148,2,11,11,5,40.25
150,2,12,11,5,38.6
152,2,13,11,5,38.55
154,2,14,11,5,37.7
156,2,15,11,5,37.6
158,2,16,11,5,37.75
160,2,17,11,5,37.8
162,2,18,11,5,37.9
164,2,19,11,5,37.9
166,2,20,11,5,37.9
168,2,21,11,5,37.95
170,2,22,11,5,37.75
172,2,23,11,5,37.45
174,3,0,11,6,37.15
176,3,1,11,6,36.9
178,3,2,11,6,36.8
180,3,3,11,6,36.7
182,3,4,11,6,36.7
184,3,5,11,6,36.7
186,3,6,11,6,36.7
188,3,7,11,6,36.9
190,3,8,11,6,36.8
192,6,20,11,2,34.2
194,6,21,11,2,34.1
196,6,22,11,2,34.5
198,6,23,11,2,34.6
200,7,0,11,3,34.6
202,7,1,11,3,34.6
204,7,2,11,3,34.45
206,7,3,11,3,34.25
208,7,4,11,3,34.0
210,7,5,11,3,34.15
212,7,6,11,3,34.55
214,7,7,11,3,35.900000000000006
216,7,8,11,3,37.099999999999994
218,7,9,11,3,37.0
220,7,10,11,3,36.55
222,7,11,11,3,36.4
224,7,12,11,3,36.349999999999994
226,7,13,11,3,36.25
228,7,14,11,3,36.3
230,7,15,11,3,36.4
232,7,16,11,3,36.5
234,7,17,11,3,37.349999999999994
