,day,hour,month,weekday,avg_hrly_hum,avg_hrly_temp,avg_hrly_press,tot_motion_count,avg_hrly_light,num_psets_due
173,6,10,11,2,37.85,20.0,102742.83,0.0,4095.0,2
174,6,11,11,2,37.7,19.6,102699.295,0.0,4095.0,2
175,6,12,11,2,38.45,19.35,102660.75,0.0,4095.0,2
176,6,13,11,2,36.5,19.05,102647.645,0.0,4095.0,2
177,6,14,11,2,36.65000000000001,18.8,102681.205,0.0,4095.0,2
178,6,15,11,2,36.85,18.65,102685.69,0.0,4095.0,2
179,6,16,11,2,37.3,18.45,102719.63,0.0,4095.0,2
180,6,17,11,2,37.05,18.25,102800.255,0.0,4095.0,2
181,6,18,11,2,37.45,18.1,102891.885,0.0,4095.0,2
182,6,19,11,2,37.55,17.95,102905.61,0.0,4095.0,2
183,6,20,11,2,31.8,17.8,102894.355,99.0,2347.75,2
184,6,21,11,2,43.90000000000001,19.35,101863.055,105.0,1951.6363636363642,2
185,6,22,11,2,41.55,18.95,101813.18,67.0,2977.75,2
186,6,23,11,2,39.0,18.85,101785.805,111.0,2304.9166666666665,2
187,7,0,11,3,39.9,19.0,101769.58,39.0,3038.0,1
188,7,1,11,3,39.85,19.0,101803.94,0.0,4095.0,1
189,7,2,11,3,39.0,19.0,101849.05,0.0,4095.0,1
190,7,3,11,3,38.5,19.15,101905.49,74.0,2973.666666666666,1
191,7,4,11,3,36.05,19.700000000000006,102003.755,178.0,2050.25,1
192,7,5,11,3,42.95,19.9,102098.385,181.0,2068.333333333333,1
193,7,6,11,3,43.0,22.85,102162.555,180.0,2080.9166666666665,1
194,7,7,11,3,42.8,23.15,102234.92,216.0,2072.75,1
195,7,8,11,3,44.6,21.7,102316.9,29.0,2141.833333333333,1
196,7,9,11,3,36.3,20.35,102361.48,32.0,2267.833333333333,1
197,7,10,11,3,35.4,20.2,102413.25,144.0,3355.5,1
198,7,11,11,3,33.75,20.15,102480.355,0.0,4095.0,1
199,7,12,11,3,33.75,20.0,102526.615,0.0,4095.0,1
200,7,13,11,3,33.65000000000001,19.9,102602.835,9.0,4095.0,1
201,7,14,11,3,33.4,19.8,102629.695,0.0,4095.0,1
202,7,15,11,3,33.1,19.65,102702.825,0.0,4095.0,1
203,7,16,11,3,32.05,19.55,102742.955,0.0,4095.0,1
