,month,day,hour,weekday,avg_hrly_temp
382,11,5,18,1,19.5
384,11,5,19,1,19.950000000000003
386,11,5,20,1,20.25
388,11,5,21,1,20.45
390,11,5,22,1,20.65
392,11,5,23,1,20.85
394,11,6,0,2,20.95
396,11,6,1,2,20.95
398,11,6,2,2,20.95
400,11,6,3,2,20.9
402,11,6,4,2,20.9
404,11,6,5,2,20.8
406,11,6,6,2,20.75
408,11,6,7,2,20.7
410,11,6,8,2,20.6
412,11,6,9,2,20.549999999999997
414,11,6,10,2,20.0
416,11,6,11,2,19.6
418,11,6,12,2,19.35
420,11,6,13,2,19.05
422,11,6,14,2,18.8
424,11,6,15,2,18.65
426,11,6,16,2,18.45
428,11,6,17,2,18.25
430,11,6,18,2,18.1
432,11,6,19,2,17.95
434,11,6,20,2,17.8
436,11,6,21,2,19.35
438,11,6,22,2,18.95
440,11,6,23,2,18.85
442,11,7,0,3,19.0
444,11,7,1,3,19.0
446,11,7,2,3,19.0
448,11,7,3,3,19.15
450,11,7,4,3,19.700000000000003
452,11,7,5,3,19.9
454,11,7,6,3,22.85
456,11,7,7,3,23.15
458,11,7,8,3,21.7
460,11,7,9,3,20.35
462,11,7,10,3,20.2
464,11,7,11,3,20.15
466,11,7,12,3,20.0
468,11,7,13,3,19.9
470,11,7,14,3,19.799999999999997
472,11,7,15,3,19.65
474,11,7,16,3,19.55
476,11,7,17,3,19.5
478,11,7,18,3,19.4
480,11,7,19,3,19.45
482,11,7,20,3,19.1
484,11,7,21,3,18.6
486,11,7,22,3,18.25
488,11,7,23,3,18.1
490,11,8,0,4,17.9
492,11,8,1,4,17.7
494,11,8,2,4,17.65
496,11,8,3,4,17.6
498,11,8,4,4,17.6
500,11,8,5,4,17.4
502,11,8,6,4,17.45
504,11,8,7,4,17.4
506,11,8,8,4,17.6
508,11,8,9,4,18.200000000000003
510,11,8,10,4,18.5
512,11,8,11,4,18.700000000000003
514,11,8,12,4,18.9
516,11,8,13,4,19.15
518,11,8,14,4,19.3
520,11,8,15,4,19.5
522,11,8,16,4,19.65
524,11,8,17,4,19.8
526,11,8,18,4,19.95
528,11,8,19,4,20.1
530,11,8,20,4,20.1
532,11,8,21,4,19.8
534,11,8,22,4,19.7
536,11,8,23,4,19.6
538,11,9,0,5,19.55
540,11,9,1,5,19.5
542,11,9,2,5,19.4
544,11,9,3,5,19.35
546,11,9,4,5,19.25
548,11,9,5,5,19.299999999999997
550,11,9,6,5,19.700000000000003
552,11,9,7,5,20.15
554,11,9,8,5,20.35
556,11,9,9,5,20.55
558,11,9,10,5,20.75
560,11,9,11,5,20.9
562,11,9,12,5,20.95
564,11,9,13,5,20.95
566,11,9,14,5,20.95
568,11,9,15,5,20.9
570,11,9,16,5,20.85
572,11,9,17,5,20.8
574,11,9,18,5,20.7
576,11,9,19,5,20.65
578,11,9,20,5,20.65
580,11,9,21,5,20.25
582,11,9,22,5,19.799999999999997
584,11,9,23,5,19.45
586,11,10,0,6,19.200000000000003
588,11,10,1,6,18.9
590,11,10,2,6,18.75
592,11,10,3,6,18.55
594,11,10,4,6,18.35
596,11,10,5,6,18.15
598,11,10,6,6,18.05
600,11,10,7,6,17.85
602,11,10,8,6,17.8
603,11,11,12,0,21.8
604,11,11,13,0,21.0
606,11,11,14,0,21.0
608,11,11,15,0,20.95
610,11,11,16,0,21.0
612,11,11,17,0,21.1
614,11,11,18,0,21.05
616,11,11,19,0,21.2
618,11,11,20,0,21.25
620,11,11,21,0,21.3
622,11,11,22,0,21.200000000000003
624,11,11,23,0,20.95
626,11,12,0,1,20.85
628,11,12,1,1,20.700000000000003
630,11,12,2,1,20.55
632,11,12,3,1,20.35
634,11,12,4,1,20.2
636,11,12,5,1,20.15
638,11,12,6,1,19.95
640,11,12,7,1,19.9
642,11,12,8,1,20.05
644,11,12,9,1,19.8
646,11,12,10,1,19.65
648,11,12,11,1,19.55
650,11,12,12,1,19.5
652,11,12,13,1,19.25
654,11,12,14,1,19.2
656,11,12,15,1,18.95
658,11,12,16,1,18.8
660,11,12,17,1,18.65
662,11,12,18,1,18.4
664,11,12,19,1,18.15
666,11,12,20,1,18.0
668,11,12,21,1,17.75
670,11,12,22,1,17.450000000000003
672,11,12,23,1,17.200000000000003
674,11,13,0,2,16.95
676,11,13,1,2,16.7
678,11,13,2,2,16.35
680,11,13,3,2,16.15
