,month,day,hour,avg_hrly_light
1012,11,2,11,4095.0
1024,11,2,12,4095.0
1036,11,2,13,4095.0
1048,11,2,14,3929.75
1060,11,2,15,2359.75
1072,11,2,16,3222.0833333333335
1084,11,2,17,2410.8333333333335
1096,11,2,18,2410.5833333333335
1108,11,2,19,4095.0
1120,11,2,20,4095.0
1132,11,2,21,2857.0
1144,11,2,22,2409.25
1156,11,2,23,2409.1666666666665
1168,11,3,0,2418.9166666666665
0,11,3,9,1922.1666666666667
6,11,3,10,2254.75
18,11,3,11,2999.0
30,11,3,12,2343.9166666666665
42,11,3,13,4095.0
54,11,3,14,4095.0
66,11,3,15,3715.25
78,11,3,16,1987.25
90,11,3,17,2060.8333333333335
102,11,3,18,2079.25
114,11,3,19,2080.0
126,11,3,20,2088.6666666666665
138,11,3,21,2243.9166666666665
150,11,3,22,2755.9166666666665
162,11,3,23,4095.0
174,11,4,0,4095.0
186,11,4,1,4095.0
198,11,4,2,4095.0
210,11,4,3,4095.0
222,11,4,4,4095.0
234,11,4,5,4095.0
246,11,4,6,3780.0
258,11,4,7,3627.0
270,11,4,8,2775.5833333333335
282,11,4,9,4095.0
294,11,4,10,4095.0
306,11,4,11,4095.0
318,11,4,12,4095.0
330,11,4,13,4095.0
342,11,4,14,4095.0
354,11,4,15,4095.0
366,11,4,16,4095.0
378,11,4,17,4095.0
390,11,4,18,4095.0
402,11,4,19,4095.0
414,11,4,20,2974.6666666666665
426,11,4,21,2221.25
438,11,4,22,3317.4166666666665
450,11,4,23,4095.0
462,11,5,0,4095.0
474,11,5,1,4095.0
486,11,5,2,4095.0
498,11,5,3,4095.0
510,11,5,4,4095.0
522,11,5,5,4095.0
534,11,5,6,3722.9166666666665
546,11,5,7,3180.8333333333335
558,11,5,8,3419.25
570,11,5,9,4089.5
582,11,5,10,4089.5833333333335
594,11,5,11,4089.6666666666665
606,11,5,12,4095.0
618,11,5,13,4095.0
630,11,5,14,4095.0
642,11,5,15,4095.0
654,11,5,16,4095.0
666,11,5,17,3651.4166666666665
678,11,5,18,2643.5833333333335
690,11,5,19,2228.6666666666665
702,11,5,20,2233.0833333333335
714,11,5,21,2247.5
726,11,5,22,2362.5833333333335
738,11,5,23,3240.25
750,11,6,0,4095.0
762,11,6,1,4095.0
774,11,6,2,4095.0
786,11,6,3,4095.0
798,11,6,4,4095.0
810,11,6,5,4095.0
822,11,6,6,4095.0
834,11,6,7,3766.75
846,11,6,8,2226.3333333333335
858,11,6,9,3944.3333333333335
870,11,6,10,4095.0
882,11,6,11,4095.0
894,11,6,12,4095.0
906,11,6,13,4095.0
918,11,6,14,4095.0
930,11,6,15,4095.0
942,11,6,16,4095.0
954,11,6,17,4095.0
966,11,6,18,4095.0
978,11,6,19,4095.0
990,11,6,20,2347.75
1002,11,6,21,1951.6363636363637
10,11,6,22,2977.75
22,11,6,23,2304.9166666666665
34,11,7,0,3038.0
46,11,7,1,4095.0
58,11,7,2,4095.0
70,11,7,3,2973.6666666666665
82,11,7,4,2050.25
94,11,7,5,2068.3333333333335
106,11,7,6,2080.9166666666665
118,11,7,7,2072.75
130,11,7,8,2141.8333333333335
142,11,7,9,2267.8333333333335
154,11,7,10,3355.5
166,11,7,11,4095.0
178,11,7,12,4095.0
190,11,7,13,4095.0
202,11,7,14,4095.0
214,11,7,15,4095.0
226,11,7,16,4095.0
238,11,7,17,4095.0
250,11,7,18,3780.0
262,11,7,19,2984.5
274,11,7,20,3418.0833333333335
286,11,7,21,4095.0
298,11,7,22,4095.0
310,11,7,23,4095.0
322,11,8,0,4095.0
334,11,8,1,4095.0
346,11,8,2,4095.0
358,11,8,3,4095.0
370,11,8,4,4095.0
382,11,8,5,4095.0
394,11,8,6,4095.0
406,11,8,7,4095.0
418,11,8,8,2350.0
430,11,8,9,2227.1666666666665
442,11,8,10,3936.1666666666665
454,11,8,11,4095.0
466,11,8,12,4095.0
478,11,8,13,4095.0
490,11,8,14,4095.0
502,11,8,15,4095.0
514,11,8,16,4095.0
526,11,8,17,4095.0
538,11,8,18,3663.0833333333335
550,11,8,19,2616.25
562,11,8,20,4043.6666666666665
574,11,8,21,4089.5
586,11,8,22,4089.5833333333335
598,11,8,23,4089.6666666666665
610,11,9,0,4095.0
622,11,9,1,4095.0
634,11,9,2,4095.0
646,11,9,3,4095.0
658,11,9,4,4095.0
670,11,9,5,3437.4166666666665
682,11,9,6,2235.0
694,11,9,7,2229.0833333333335
706,11,9,8,2235.5
718,11,9,9,2259.1666666666665
730,11,9,10,2400.4166666666665
742,11,9,11,3810.5
754,11,9,12,4095.0
766,11,9,13,4095.0
778,11,9,14,4095.0
790,11,9,15,4095.0
802,11,9,16,4095.0
814,11,9,17,4095.0
826,11,9,18,4095.0
838,11,9,19,3130.9166666666665
850,11,9,20,2711.5
862,11,9,21,4095.0
874,11,9,22,4095.0
886,11,9,23,4095.0
898,11,10,0,4095.0
910,11,10,1,4095.0
922,11,10,2,4095.0
934,11,10,3,4095.0
946,11,10,4,4095.0
958,11,10,5,4095.0
970,11,10,6,4095.0
982,11,10,7,3602.8333333333335
994,11,10,8,2214.4444444444443
0,11,11,12,2721.5
2,11,11,13,3933.6666666666665
14,11,11,14,4095.0
26,11,11,15,4095.0
38,11,11,16,4095.0
50,11,11,17,4095.0
62,11,11,18,4095.0
74,11,11,19,4095.0
86,11,11,20,3123.75
98,11,11,21,2318.0
110,11,11,22,4095.0
122,11,11,23,4095.0
134,11,12,0,4095.0
146,11,12,1,4095.0
158,11,12,2,4095.0
170,11,12,3,4095.0
182,11,12,4,4095.0
194,11,12,5,4095.0
206,11,12,6,4095.0
218,11,12,7,3239.0
230,11,12,8,2451.4166666666665
242,11,12,9,4095.0
254,11,12,10,4095.0
266,11,12,11,4095.0
278,11,12,12,4095.0
290,11,12,13,4095.0
302,11,12,14,4095.0
314,11,12,15,4095.0
326,11,12,16,2418.8333333333335
338,11,12,17,2098.1666666666665
350,11,12,18,2101.3333333333335
362,11,12,19,2101.5
374,11,12,20,2101.5
386,11,12,21,2102.1666666666665
398,11,12,22,2105.5
410,11,12,23,2472.5833333333335
422,11,13,0,4095.0
434,11,13,1,4095.0
446,11,13,2,4095.0
458,11,13,3,4095.0
470,11,13,4,4095.0
482,11,13,5,4095.0
494,11,13,6,4095.0
506,11,13,7,3235.0
518,11,13,8,2066.4166666666665
530,11,13,9,2073.5833333333335
542,11,13,10,2070.9166666666665
554,11,13,11,2072.9166666666665
566,11,13,12,2252.25
578,11,13,13,3932.6666666666665
590,11,13,14,4095.0
602,11,13,15,4095.0
614,11,13,16,4095.0
626,11,13,17,3653.3333333333335
638,11,13,18,2062.0
650,11,13,19,2078.0
662,11,13,20,2078.5833333333335
674,11,13,21,2084.3333333333335
686,11,13,22,3077.4166666666665
698,11,13,23,2093.75
710,11,14,0,2127.25
722,11,14,1,4095.0
734,11,14,2,4095.0
746,11,14,3,4095.0
758,11,14,4,4095.0
770,11,14,5,4095.0
782,11,14,6,4095.0
794,11,14,7,4095.0
806,11,14,8,2399.5
818,11,14,9,2059.75
830,11,14,10,2924.5833333333335
842,11,14,11,4024.8333333333335
854,11,14,12,4021.8333333333335
866,11,14,13,4070.6666666666665
878,11,14,14,4095.0
890,11,14,15,4095.0
902,11,14,16,4095.0
914,11,14,17,4095.0
926,11,14,18,4095.0
938,11,14,19,2893.4166666666665
950,11,14,20,2254.6666666666665
962,11,14,21,3950.8333333333335
974,11,14,22,2628.0833333333335
986,11,14,23,2337.5
998,11,15,0,3656.9166666666665
1010,11,15,1,4095.0
1022,11,15,2,4095.0
1034,11,15,3,4095.0
1046,11,15,4,4095.0
1058,11,15,5,4095.0
1070,11,15,6,4095.0
1082,11,15,7,4095.0
1094,11,15,8,3335.3333333333335
1106,11,15,9,2330.5
1118,11,15,10,2229.6666666666665
1130,11,15,11,2133.0833333333335
1142,11,15,12,2135.4166666666665
1154,11,15,13,2129.0
1166,11,15,14,2131.5833333333335
1178,11,15,15,2139.4
0,11,16,9,3831.5833333333335
12,11,16,10,3515.1666666666665
24,11,16,11,4095.0
36,11,16,12,4095.0
48,11,16,13,4095.0
60,11,16,14,3614.5833333333335
72,11,16,15,2905.3333333333335
84,11,16,16,2270.8333333333335
96,11,16,17,2296.25
108,11,16,18,2302.3333333333335
120,11,16,19,2317.8333333333335
132,11,16,20,2315.0
144,11,16,21,2313.9166666666665
156,11,16,22,2532.25
168,11,16,23,2601.1666666666665
180,11,17,0,3476.8333333333335
192,11,17,1,4095.0
204,11,17,2,4095.0
216,11,17,3,4095.0
228,11,17,4,4095.0
240,11,17,5,4095.0
252,11,17,6,4095.0
264,11,17,7,4095.0
276,11,17,8,4095.0
288,11,17,9,4095.0
300,11,17,10,3471.25
312,11,17,11,2280.3333333333335
324,11,17,12,2916.1666666666665
336,11,17,13,4095.0
348,11,17,14,4095.0
360,11,17,15,3396.4166666666665
372,11,17,16,4095.0
384,11,17,17,4095.0
396,11,17,18,4095.0
408,11,17,19,4095.0
420,11,17,20,3181.25
432,11,17,21,2312.6666666666665
444,11,17,22,3260.8333333333335
456,11,17,23,4095.0
468,11,18,0,4095.0
480,11,18,1,4095.0
492,11,18,2,4095.0
504,11,18,3,4095.0
516,11,18,4,4095.0
528,11,18,5,4095.0
540,11,18,6,3868.6666666666665
552,11,18,7,3022.6666666666665
564,11,18,8,2620.5
576,11,18,9,4095.0
588,11,18,10,4095.0
600,11,18,11,4095.0
612,11,18,12,4095.0
624,11,18,13,4095.0
636,11,18,14,4095.0
648,11,18,15,4095.0
660,11,18,16,4095.0
672,11,18,17,3501.5833333333335
684,11,18,18,2777.8333333333335
696,11,18,19,4095.0
708,11,18,20,3342.4166666666665
720,11,18,21,2339.25
732,11,18,22,2397.0833333333335
744,11,18,23,3972.75
756,11,19,0,4095.0
768,11,19,1,4095.0
780,11,19,2,4095.0
792,11,19,3,4095.0
804,11,19,4,4095.0
816,11,19,5,4095.0
828,11,19,6,3818.75
840,11,19,7,3398.9166666666665
852,11,19,8,3435.5
864,11,19,9,4095.0
876,11,19,10,4095.0
888,11,19,11,4095.0
900,11,19,12,4095.0
912,11,19,13,4095.0
924,11,19,14,4095.0
936,11,19,15,4095.0
948,11,19,16,4095.0
960,11,19,17,4095.0
