,month,day,hour,weekday,avg_hrly_press
0,10,23,8,2,100858.13
2,10,23,9,2,100921.88
4,10,23,10,2,101001.595
6,10,23,11,2,101024.13
8,10,23,12,2,101025.725
10,10,23,13,2,101025.61
12,10,23,14,2,101127.13500000001
14,10,23,15,2,101199.625
16,10,23,16,2,101326.075
18,10,23,17,2,101452.705
20,10,23,18,2,101601.985
22,10,23,19,2,101711.965
24,10,23,20,2,101842.97
26,10,23,21,2,101942.43
28,10,23,22,2,102017.485
30,10,23,23,2,102061.955
32,10,24,0,3,102138.83
34,10,24,1,3,102205.51000000001
36,10,24,2,3,102252.535
38,10,24,3,3,102319.69
40,10,24,4,3,102435.86499999999
42,10,24,5,3,102493.93
44,10,24,6,3,102527.73
46,10,24,7,3,102609.91
48,10,24,8,3,102675.98000000001
50,10,24,9,3,102677.33
52,10,24,10,3,102683.905
54,10,24,11,3,102654.59
56,10,24,12,3,102548.98
58,10,24,13,3,102451.04000000001
60,10,24,14,3,102405.995
62,10,24,15,3,102395.66
64,10,24,16,3,102403.06
66,10,24,17,3,102412.59
68,10,24,18,3,102456.535
70,10,24,19,3,102487.95999999999
72,10,24,20,3,102527.95
73,10,29,22,1,102802.44
74,10,29,23,1,102801.11
76,10,30,0,2,102810.42499999999
78,10,30,1,2,102802.39
80,10,30,2,2,102768.61499999999
82,10,30,3,2,102739.195
84,10,30,4,2,102742.19
86,10,30,5,2,102744.075
88,10,30,6,2,102749.34
90,10,30,7,2,102814.07
92,10,30,8,2,102854.56
94,10,30,9,2,102824.42
96,10,30,10,2,102806.475
98,10,30,11,2,102751.20999999999
100,10,30,12,2,102683.675
102,10,30,13,2,102609.78
104,10,30,14,2,102591.685
106,10,30,15,2,102550.69
108,10,30,16,2,102538.455
110,10,30,17,2,102512.735
112,10,30,18,2,102502.395
114,10,30,19,2,102430.225
116,10,30,20,2,102360.265
118,10,30,21,2,102281.98999999999
120,10,30,22,2,102190.51000000001
122,10,30,23,2,102120.58
124,10,31,0,3,102073.92
126,10,31,1,3,101991.35500000001
128,10,31,2,3,101924.715
130,10,31,3,3,101859.23999999999
132,10,31,4,3,101843.215
134,10,31,5,3,101792.62
136,10,31,6,3,101772.075
138,10,31,7,3,101703.43
140,10,31,8,3,101649.08
142,10,31,9,3,101593.525
144,10,31,10,3,101498.305
146,10,31,11,3,101389.225
148,10,31,12,3,101297.43
150,10,31,13,3,101207.39
152,10,31,14,3,101136.195
154,10,31,15,3,101075.465
156,10,31,16,3,100986.39499999999
158,10,31,17,3,100901.8
160,10,31,18,3,100872.665
162,10,31,19,3,100794.68
164,10,31,20,3,100697.745
166,10,31,21,3,100591.305
