,month,day,hour,weekday,avg_hrly_press
168,10,31,22,3,100505.11
170,10,31,23,3,100383.66
172,11,1,0,4,100249.325
174,11,1,1,4,100136.91500000001
176,11,1,2,4,99926.29000000001
178,11,1,3,4,99794.10500000001
180,11,1,4,4,100001.22
182,11,1,5,4,100244.86
184,11,1,6,4,100437.205
186,11,1,7,4,100765.5
188,11,1,8,4,100938.05
190,11,1,9,4,101035.25
192,11,1,10,4,101151.895
194,11,1,11,4,101217.11499999999
196,11,1,12,4,101252.565
198,11,1,13,4,101356.82999999999
200,11,1,14,4,101501.005
202,11,1,15,4,101654.505
204,11,1,16,4,101818.875
206,11,1,17,4,101966.77
208,11,1,18,4,102116.565
210,11,1,19,4,102218.715
212,11,1,20,4,102272.33499999999
214,11,1,21,4,102351.03
216,11,1,22,4,102363.875
218,11,1,23,4,102391.545
220,11,2,0,5,102409.215
222,11,2,1,5,102411.53
224,11,2,2,5,102414.535
226,11,2,3,5,102442.0
228,11,2,4,5,102485.81
230,11,2,5,5,102491.98000000001
232,11,2,6,5,102500.145
234,11,2,7,5,102524.4
236,11,2,8,5,102559.865
238,11,2,9,5,102543.01000000001
240,11,2,10,5,102522.655
242,11,2,11,5,102395.715
244,11,2,12,5,102286.745
246,11,2,13,5,102185.065
248,11,2,14,5,102096.86
250,11,2,15,5,102036.25
252,11,2,16,5,102008.505
254,11,2,17,5,101991.235
256,11,2,18,5,101945.44
258,11,2,19,5,101884.83
260,11,2,20,5,101862.545
262,11,2,21,5,101840.18
264,11,2,22,5,101807.555
266,11,2,23,5,101787.34
268,11,3,0,6,101747.13
269,11,3,9,6,101860.03
270,11,3,10,6,101849.89
272,11,3,11,6,101791.66
274,11,3,12,6,101775.85
276,11,3,13,6,101776.87
278,11,3,14,6,101828.755
280,11,3,15,6,101877.975
282,11,3,16,6,101951.075
284,11,3,17,6,102050.37
286,11,3,18,6,102133.205
288,11,3,19,6,102199.11
290,11,3,20,6,102275.065
292,11,3,21,6,102346.39
294,11,3,22,6,102384.685
296,11,3,23,6,102442.53
298,11,4,0,0,102502.44
300,11,4,1,0,102574.235
302,11,4,2,0,102614.76999999999
304,11,4,3,0,102663.04000000001
306,11,4,4,0,102719.06
308,11,4,5,0,102763.565
310,11,4,6,0,102824.815
312,11,4,7,0,102889.435
314,11,4,8,0,102966.175
316,11,4,9,0,102950.91500000001
318,11,4,10,0,102944.89499999999
320,11,4,11,0,102907.275
322,11,4,12,0,102833.355
324,11,4,13,0,102804.17
326,11,4,14,0,102802.83499999999
328,11,4,15,0,102781.015
330,11,4,16,0,102806.45999999999
332,11,4,17,0,102828.485
334,11,4,18,0,102863.62
336,11,4,19,0,102868.69
338,11,4,20,0,102830.425
340,11,4,21,0,102863.45999999999
342,11,4,22,0,102848.265
344,11,4,23,0,102822.32
346,11,5,0,1,102805.53
348,11,5,1,1,102766.36499999999
350,11,5,2,1,102702.92
352,11,5,3,1,102670.07
354,11,5,4,1,102643.18
356,11,5,5,1,102629.3
358,11,5,6,1,102622.205
360,11,5,7,1,102606.065
362,11,5,8,1,102590.32
364,11,5,9,1,102563.64
366,11,5,10,1,102452.64
368,11,5,11,1,102351.0
370,11,5,12,1,102213.175
372,11,5,13,1,102109.465
374,11,5,14,1,102058.195
376,11,5,15,1,102007.985
378,11,5,16,1,101969.59
380,11,5,17,1,101960.49
382,11,5,18,1,101933.25
384,11,5,19,1,101954.11
386,11,5,20,1,101990.38
388,11,5,21,1,102049.86
390,11,5,22,1,102097.16
392,11,5,23,1,102139.87
394,11,6,0,2,102142.065
396,11,6,1,2,102228.725
398,11,6,2,2,102281.08499999999
400,11,6,3,2,102365.355
402,11,6,4,2,102446.2
404,11,6,5,2,102528.895
406,11,6,6,2,102638.18
408,11,6,7,2,102712.89
410,11,6,8,2,102756.455
412,11,6,9,2,102758.18
414,11,6,10,2,102742.83
416,11,6,11,2,102699.295
418,11,6,12,2,102660.75
420,11,6,13,2,102647.64499999999
422,11,6,14,2,102681.205
424,11,6,15,2,102685.69
426,11,6,16,2,102719.63
428,11,6,17,2,102800.255
430,11,6,18,2,102891.88500000001
432,11,6,19,2,102905.61
434,11,6,20,2,102894.355
436,11,6,21,2,101863.055
438,11,6,22,2,101813.18
440,11,6,23,2,101785.805
442,11,7,0,3,101769.58
444,11,7,1,3,101803.94
446,11,7,2,3,101849.05
448,11,7,3,3,101905.48999999999
450,11,7,4,3,102003.755
452,11,7,5,3,102098.38500000001
454,11,7,6,3,102162.555
456,11,7,7,3,102234.92000000001
458,11,7,8,3,102316.9
460,11,7,9,3,102361.48
462,11,7,10,3,102413.25
464,11,7,11,3,102480.355
466,11,7,12,3,102526.61499999999
468,11,7,13,3,102602.83499999999
470,11,7,14,3,102629.695
472,11,7,15,3,102702.825
474,11,7,16,3,102742.955
476,11,7,17,3,102783.565
478,11,7,18,3,102862.08499999999
480,11,7,19,3,102933.39
482,11,7,20,3,102964.455
484,11,7,21,3,102947.08499999999
486,11,7,22,3,102930.97
488,11,7,23,3,102873.685
490,11,8,0,4,102809.975
492,11,8,1,4,102802.355
494,11,8,2,4,102789.695
496,11,8,3,4,102789.205
498,11,8,4,4,102819.875
500,11,8,5,4,102850.725
502,11,8,6,4,102863.37
504,11,8,7,4,102855.98000000001
506,11,8,8,4,102837.995
508,11,8,9,4,102862.975
510,11,8,10,4,102833.43
512,11,8,11,4,102814.39499999999
514,11,8,12,4,102786.32
516,11,8,13,4,102743.31
518,11,8,14,4,102677.435
520,11,8,15,4,102655.285
522,11,8,16,4,102633.11
524,11,8,17,4,102627.985
526,11,8,18,4,102611.53
528,11,8,19,4,102602.73999999999
530,11,8,20,4,102586.01000000001
532,11,8,21,4,102508.545
534,11,8,22,4,102411.655
536,11,8,23,4,102290.345
538,11,9,0,5,102138.85500000001
540,11,9,1,5,102086.32
542,11,9,2,5,102029.785
544,11,9,3,5,101993.79000000001
546,11,9,4,5,101948.215
548,11,9,5,5,101957.455
550,11,9,6,5,101935.625
552,11,9,7,5,101970.60500000001
554,11,9,8,5,102017.31
556,11,9,9,5,102070.45
558,11,9,10,5,102125.64
560,11,9,11,5,102141.555
562,11,9,12,5,102183.65
564,11,9,13,5,102254.735
566,11,9,14,5,102311.7
568,11,9,15,5,102417.76999999999
570,11,9,16,5,102478.125
572,11,9,17,5,102591.18
574,11,9,18,5,102671.34
576,11,9,19,5,102747.805
578,11,9,20,5,102756.935
580,11,9,21,5,102751.27
582,11,9,22,5,102725.20999999999
584,11,9,23,5,102681.725
586,11,10,0,6,102639.045
588,11,10,1,6,102667.235
590,11,10,2,6,102683.36
592,11,10,3,6,102703.845
594,11,10,4,6,102751.075
596,11,10,5,6,102850.185
598,11,10,6,6,102910.31
600,11,10,7,6,102895.76999999999
602,11,10,8,6,102894.26
603,11,11,12,0,102013.98
604,11,11,13,0,101994.83499999999
606,11,11,14,0,101950.225
608,11,11,15,0,101916.51999999999
610,11,11,16,0,101868.92
612,11,11,17,0,101834.935
614,11,11,18,0,101764.945
616,11,11,19,0,101712.69
618,11,11,20,0,101658.205
620,11,11,21,0,101572.35500000001
622,11,11,22,0,101487.97
624,11,11,23,0,101417.7
626,11,12,0,1,101308.985
628,11,12,1,1,101104.265
630,11,12,2,1,101007.3
632,11,12,3,1,100931.215
634,11,12,4,1,100850.935
636,11,12,5,1,100823.265
638,11,12,6,1,100654.85
640,11,12,7,1,100733.33
642,11,12,8,1,100666.825
644,11,12,9,1,100720.435
646,11,12,10,1,100738.36
648,11,12,11,1,100749.645
650,11,12,12,1,100860.14499999999
652,11,12,13,1,100965.265
654,11,12,14,1,101106.44
656,11,12,15,1,101208.605
658,11,12,16,1,101312.405
660,11,12,17,1,101393.73000000001
662,11,12,18,1,101478.42
664,11,12,19,1,101513.54999999999
666,11,12,20,1,101599.505
668,11,12,21,1,101669.18
670,11,12,22,1,101724.92
672,11,12,23,1,101786.45999999999
674,11,13,0,2,101824.285
676,11,13,1,2,101848.765
678,11,13,2,2,101874.155
680,11,13,3,2,101955.075
682,11,13,4,2,102015.85500000001
684,11,13,5,2,102088.18
686,11,13,6,2,102170.525
688,11,13,7,2,102264.57
690,11,13,8,2,102354.205
692,11,13,9,2,102390.9
694,11,13,10,2,102385.425
696,11,13,11,2,102391.26000000001
698,11,13,12,2,102439.13
700,11,13,13,2,102539.485
702,11,13,14,2,102638.83
704,11,13,15,2,102740.36
706,11,13,16,2,102807.24
708,11,13,17,2,102902.5
710,11,13,18,2,103037.295
712,11,13,19,2,103103.76000000001
714,11,13,20,2,103162.765
716,11,13,21,2,103219.86499999999
718,11,13,22,2,103231.525
720,11,13,23,2,103275.69
722,11,14,0,3,103303.03
724,11,14,1,3,103315.66500000001
726,11,14,2,3,103296.775
728,11,14,3,3,103328.715
730,11,14,4,3,103348.285
732,11,14,5,3,103364.195
734,11,14,6,3,103371.535
736,11,14,7,3,103397.33
738,11,14,8,3,103429.63
740,11,14,9,3,103388.58
742,11,14,10,3,103298.29000000001
744,11,14,11,3,103180.65
746,11,14,12,3,103104.705
748,11,14,13,3,103050.785
750,11,14,14,3,102989.565
752,11,14,15,3,102930.935
754,11,14,16,3,102884.61
756,11,14,17,3,102832.8
758,11,14,18,3,102736.1
760,11,14,19,3,102677.53
762,11,14,20,3,102676.09
764,11,14,21,3,102624.945
766,11,14,22,3,102594.175
768,11,14,23,3,102560.07
770,11,15,0,4,102514.155
772,11,15,1,4,102474.37
774,11,15,2,4,102407.41500000001
776,11,15,3,4,102375.23999999999
778,11,15,4,4,102386.64499999999
780,11,15,5,4,102363.43
782,11,15,6,4,102346.88500000001
784,11,15,7,4,102338.455
786,11,15,8,4,102286.65
788,11,15,9,4,102192.755
790,11,15,10,4,102079.11
792,11,15,11,4,101973.33499999999
794,11,15,12,4,101901.23
796,11,15,13,4,101881.95
798,11,15,14,4,101833.54000000001
800,11,15,15,4,101827.73
801,11,16,9,5,103426.285
803,11,16,10,5,103408.27
805,11,16,11,5,103418.945
807,11,16,12,5,103406.61499999999
809,11,16,13,5,103366.545
811,11,16,14,5,103348.055
813,11,16,15,5,103331.41500000001
815,11,16,16,5,103302.81
817,11,16,17,5,103287.27
819,11,16,18,5,103264.14499999999
821,11,16,19,5,103239.215
823,11,16,20,5,103249.025
825,11,16,21,5,103244.155
827,11,16,22,5,103263.075
829,11,16,23,5,103303.695
831,11,17,0,6,103358.1
833,11,17,1,6,103402.045
835,11,17,2,6,103390.76999999999
837,11,17,3,6,103393.4
839,11,17,4,6,103437.565
841,11,17,5,6,103441.805
843,11,17,6,6,103451.175
845,11,17,7,6,103460.4
847,11,17,8,6,103462.32
849,11,17,9,6,103453.85
851,11,17,10,6,103441.89
853,11,17,11,6,103450.425
855,11,17,12,6,103440.695
857,11,17,13,6,103413.705
859,11,17,14,6,103375.92
861,11,17,15,6,103342.325
863,11,17,16,6,103317.26000000001
865,11,17,17,6,103303.755
867,11,17,18,6,103301.32
869,11,17,19,6,103302.035
871,11,17,20,6,103279.51000000001
873,11,17,21,6,103274.36499999999
875,11,17,22,6,103266.775
877,11,17,23,6,103292.945
879,11,18,0,0,103281.055
881,11,18,1,0,103242.14499999999
883,11,18,2,0,103230.61499999999
885,11,18,3,0,103250.13
887,11,18,4,0,103217.45000000001
889,11,18,5,0,103222.33
891,11,18,6,0,103243.72
893,11,18,7,0,103235.38500000001
895,11,18,8,0,103242.75
897,11,18,9,0,103258.545
899,11,18,10,0,103212.06
901,11,18,11,0,103176.37
903,11,18,12,0,103132.565
905,11,18,13,0,103068.005
907,11,18,14,0,103005.20999999999
909,11,18,15,0,102950.945
911,11,18,16,0,102926.625
913,11,18,17,0,102886.505
915,11,18,18,0,102843.89
917,11,18,19,0,102817.97
919,11,18,20,0,102789.66500000001
921,11,18,21,0,102761.86499999999
923,11,18,22,0,102723.735
925,11,18,23,0,102674.94
927,11,19,0,1,102653.69
929,11,19,1,1,102635.805
931,11,19,2,1,102610.59
933,11,19,3,1,102570.495
935,11,19,4,1,102538.285
937,11,19,5,1,102505.555
939,11,19,6,1,102463.43
941,11,19,7,1,102422.205
943,11,19,8,1,102374.465
945,11,19,9,1,102311.01000000001
947,11,19,10,1,102258.4
949,11,19,11,1,102216.45499999999
951,11,19,12,1,102181.84
953,11,19,13,1,102131.86
955,11,19,14,1,102081.44
957,11,19,15,1,102041.09
959,11,19,16,1,101994.73000000001
961,11,19,17,1,101953.985
963,11,19,18,1,101924.875
965,11,19,19,1,101843.215
967,11,19,20,1,101800.37
969,11,19,21,1,101756.07
971,11,19,22,1,101741.32
973,11,19,23,1,101706.45
975,11,20,0,2,101686.10500000001
977,11,20,1,2,101615.88500000001
979,11,20,2,2,101588.47
981,11,20,3,2,101592.98999999999
983,11,20,4,2,101575.305
985,11,20,5,2,101544.09
987,11,20,6,2,101521.725
989,11,20,7,2,101468.055
991,11,20,8,2,101428.68
993,11,20,9,2,101373.26000000001
995,11,20,10,2,101304.22
997,11,20,11,2,101231.08499999999
999,11,20,12,2,101187.31
1001,11,20,13,2,101115.18
1003,11,20,14,2,101053.66
1005,11,20,15,2,101010.755
1007,11,20,16,2,100945.13500000001
1009,11,20,17,2,100882.08499999999
1011,11,20,18,2,100833.195
1013,11,20,19,2,100776.79000000001
1015,11,20,20,2,100753.33
1017,11,20,21,2,100737.675
1019,11,20,22,2,100727.10500000001
1021,11,20,23,2,100720.465
1023,11,21,0,3,100713.31
1025,11,21,1,3,100694.12
1027,11,21,2,3,100684.05
1029,11,21,3,3,100664.65
1031,11,21,4,3,100631.255
1033,11,21,5,3,100624.48999999999
1035,11,21,6,3,100612.645
1037,11,21,7,3,100643.295
1039,11,21,8,3,101155.53666666667
1041,11,21,9,3,101394.13750000001
1043,11,21,10,3,101348.5175
1045,11,21,11,3,101286.845
1047,11,21,12,3,101226.655
1049,11,21,13,3,101245.38249999999
1051,11,21,14,3,101249.96500000001
1053,11,21,15,3,101297.83
1055,11,21,16,3,101290.0225
1057,11,21,17,3,101298.105
1059,11,21,18,3,101303.51000000001
1061,11,21,19,3,101287.7525
1063,11,21,20,3,101241.61499999999
1065,11,21,21,3,101214.0625
1067,11,21,22,3,101214.15999999999
1069,11,21,23,3,101155.24
1071,11,22,0,4,101116.995
1073,11,22,1,4,101097.51750000002
1075,11,22,2,4,101063.57250000001
1077,11,22,3,4,100998.25
1079,11,22,4,4,100950.125
1081,11,22,5,4,100936.8075
1083,11,22,6,4,100902.0025
1085,11,22,7,4,100856.9675
1087,11,22,8,4,100778.7125
1089,11,22,9,4,100722.67
1091,11,22,10,4,100670.2
1093,11,22,11,4,100582.6725
1095,11,22,12,4,100533.8475
1097,11,22,13,4,100557.69750000001
1099,11,22,14,4,100607.95
1101,11,22,15,4,100568.4375
1103,11,22,16,4,100609.735
1105,11,22,17,4,100664.02
1107,11,22,18,4,100704.64499999999
1109,11,22,19,4,100771.205
1111,11,22,20,4,100853.495
1113,11,22,21,4,100887.54
1115,11,22,22,4,100967.7525
1117,11,22,23,4,101052.51000000001
1119,11,23,0,5,101117.45999999999
1121,11,23,1,5,101190.38999999998
1123,11,23,2,5,101220.995
1125,11,23,3,5,101261.235
1127,11,23,4,5,101293.62999999999
1129,11,23,5,5,101339.4925
1131,11,23,6,5,101359.55249999999
1133,11,23,7,5,101366.4375
1135,11,23,8,5,101375.08750000001
1137,11,23,9,5,101382.1925
1139,11,23,10,5,101341.2475
1141,11,23,11,5,101301.94
1143,11,23,12,5,101268.0925
1145,11,23,13,5,101246.215
1147,11,23,14,5,101209.735
1149,11,23,15,5,101183.94750000001
1151,11,23,16,5,101229.28
1153,11,23,17,5,101234.34749999999
1155,11,23,18,5,101218.19000000002
1157,11,23,19,5,101158.92499999999
1159,11,23,20,5,101143.8325
1161,11,23,21,5,101104.615
1163,11,23,22,5,101086.815
1165,11,23,23,5,101050.375
1167,11,24,0,6,101016.76000000001
1169,11,24,1,6,101011.275
1171,11,24,2,6,100984.0225
1173,11,24,3,6,100966.29750000002
1175,11,24,4,6,100877.88249999999
1177,11,24,5,6,100829.66249999999
1179,11,24,6,6,100766.95749999999
1181,11,24,7,6,100718.9175
1183,11,24,8,6,100664.65
1185,11,24,9,6,100581.82749999998
1187,11,24,10,6,100464.355
1189,11,24,11,6,100303.6775
1191,11,24,12,6,100135.21999999999
1193,11,24,13,6,100052.63
1195,11,24,14,6,100008.5775
1354,11,24,15,6,98618.795
1356,11,24,16,6,98705.185
1358,11,24,17,6,98806.215
1360,11,24,18,6,98901.53
1362,11,24,19,6,99014.185
1364,11,24,20,6,99163.265
1366,11,24,21,6,99319.58499999999
1368,11,24,22,6,99487.19
1370,11,24,23,6,99611.225
1372,11,25,0,0,99729.85
1374,11,25,1,0,99916.36499999999
1376,11,25,2,0,100071.535
1378,11,25,3,0,100214.43
1380,11,25,4,0,100358.055
1382,11,25,5,0,100463.73
1384,11,25,6,0,100564.55
1386,11,25,7,0,100654.86
1388,11,25,8,0,100734.725
1390,11,25,9,0,100779.33
1392,11,25,10,0,100768.36
1394,11,25,11,0,100753.27
1395,11,26,13,1,101459.01000000001
1397,11,26,14,1,101453.265
1399,11,26,15,1,101458.515
1401,11,26,16,1,101501.92
1403,11,26,17,1,101552.35
1405,11,26,18,1,101652.08
1407,11,26,19,1,101733.175
1409,11,26,20,1,101786.45
1411,11,26,21,1,101804.79000000001
1413,11,26,22,1,101841.48999999999
1415,11,26,23,1,101846.07
1417,11,27,0,2,101848.935
1419,11,27,1,2,101909.735
1421,11,27,2,2,101939.4
1423,11,27,3,2,101938.15
1425,11,27,4,2,101916.95000000001
1427,11,27,5,2,101942.94
1429,11,27,6,2,101938.36
1431,11,27,7,2,101913.76000000001
1433,11,27,8,2,101901.125
1435,11,27,9,2,101792.04000000001
1437,11,27,10,2,101624.235
1439,11,27,11,2,101538.195
1441,11,27,12,2,101457.57999999999
1443,11,27,13,2,101243.945
1445,11,27,14,2,101093.15
1447,11,27,15,2,100909.94
1449,11,27,16,2,100759.425
1451,11,27,17,2,100482.86
1453,11,27,18,2,100312.45999999999
1455,11,27,19,2,100160.9
1457,11,27,20,2,99966.225
1459,11,27,21,2,99955.495
1461,11,27,22,2,99927.83499999999
1463,11,27,23,2,99866.92
1465,11,28,0,3,99835.85
1467,11,28,1,3,99870.965
1469,11,28,2,3,99866.11499999999
1471,11,28,3,3,99903.20999999999
1473,11,28,4,3,99930.87
1475,11,28,5,3,99999.185
1477,11,28,6,3,100059.68
1479,11,28,7,3,100141.445
1481,11,28,8,3,100234.58
1483,11,28,9,3,100318.43
1485,11,28,10,3,100406.15
1487,11,28,11,3,100537.73999999999
1489,11,28,12,3,100676.48
1491,11,28,13,3,100787.98999999999
1493,11,28,14,3,100978.075
1495,11,28,15,3,101091.66
1497,11,28,16,3,101275.315
1499,11,28,17,3,101446.25
1501,11,28,18,3,101561.62
1503,11,28,19,3,101677.51000000001
1505,11,28,20,3,101763.34
1507,11,28,21,3,101872.26000000001
1509,11,28,22,3,101923.18
1511,11,28,23,3,101970.03
1513,11,29,0,4,101963.1
1515,11,29,1,4,102013.195
1517,11,29,2,4,101996.045
1519,11,29,3,4,101962.26999999999
1521,11,29,4,4,102005.48999999999
1523,11,29,5,4,102045.99
1525,11,29,6,4,102102.67
1527,11,29,7,4,102134.86
1529,11,29,8,4,102120.79000000001
1531,11,29,9,4,102099.56
1533,11,29,10,4,102064.565
1535,11,29,11,4,101968.97
1537,11,29,12,4,101934.055
1539,11,29,13,4,101899.43
1541,11,29,14,4,101897.185
1543,11,29,15,4,101864.91500000001
1545,11,29,16,4,101874.1
1547,11,29,17,4,101882.54500000001
1549,11,29,18,4,101827.845
1551,11,29,19,4,101819.98
1553,11,29,20,4,101856.72
1555,11,29,21,4,101803.33
1557,11,29,22,4,101749.505
1559,11,29,23,4,101686.16
1561,11,30,0,5,101647.295
1563,11,30,1,5,101657.61
1565,11,30,2,5,101608.765
1567,11,30,3,5,101635.01999999999
1569,11,30,4,5,101604.03
1571,11,30,5,5,101606.48000000001
1573,11,30,6,5,101646.36499999999
1575,11,30,7,5,101652.205
1577,11,30,8,5,101616.345
1579,11,30,9,5,101622.54000000001
1581,11,30,10,5,101580.77
1583,11,30,11,5,101510.7
1585,11,30,12,5,101430.33499999999
1587,11,30,13,5,101379.285
1589,11,30,14,5,101376.98000000001
1591,11,30,15,5,101374.0
1593,12,2,8,0,100478.86
1594,12,2,9,0,100499.935
1596,12,2,10,0,100414.77
1598,12,2,11,0,100359.66
1600,12,2,12,0,100256.75
1602,12,2,13,0,100257.32999999999
1604,12,2,14,0,100258.61
1606,12,2,15,0,100266.11499999999
1608,12,2,16,0,100233.67
1610,12,2,17,0,100271.58499999999
1612,12,2,18,0,100263.57
1614,12,2,19,0,100219.475
1616,12,2,20,0,100147.0
1618,12,2,21,0,100170.055
1620,12,2,22,0,100071.3
1622,12,2,23,0,99960.10500000001
1624,12,3,0,1,99907.61499999999
1626,12,3,1,1,99886.225
1628,12,3,2,1,99788.6
1630,12,3,3,1,99772.45000000001
1632,12,3,4,1,99677.945
1634,12,3,5,1,99630.66
1636,12,3,6,1,99584.225
1638,12,3,7,1,99569.07
1640,12,3,8,1,99525.87
1642,12,3,9,1,99474.89499999999
1644,12,3,10,1,99390.70000000001
1646,12,3,11,1,99303.45000000001
1648,12,3,12,1,99258.82
1650,12,3,13,1,99297.20999999999
1652,12,3,14,1,99396.535
1654,12,3,15,1,99436.905
1656,12,3,16,1,99523.5
1658,12,3,17,1,99617.57
1660,12,3,18,1,99668.145
1662,12,3,19,1,99702.705
1664,12,3,20,1,99728.28
1666,12,3,21,1,99723.925
1668,12,3,22,1,99753.92
1670,12,3,23,1,99798.98000000001
1672,12,4,0,2,99876.39
1674,12,4,1,2,99948.89
1676,12,4,2,2,99964.235
1678,12,4,3,2,99973.235
1680,12,4,4,2,100000.185
1682,12,4,5,2,100015.53
1684,12,4,6,2,100068.83
1686,12,4,7,2,100079.445
1688,12,4,8,2,100093.845
1690,12,4,9,2,100099.805
1692,12,4,10,2,100068.51000000001
1694,12,4,11,2,100005.60500000001
1696,12,4,12,2,99935.65
1698,12,4,13,2,99905.29000000001
1700,12,4,14,2,99895.33499999999
1702,12,4,15,2,99886.83
1704,12,4,16,2,99896.595
1706,12,4,17,2,99929.81
1708,12,4,18,2,99932.66500000001
1710,12,4,19,2,99942.17
1712,12,4,20,2,99928.155
1714,12,4,21,2,99910.49
1716,12,4,22,2,99917.08
1718,12,4,23,2,99893.47
1720,12,5,0,3,99892.69
1722,12,5,1,3,99925.695
1724,12,5,2,3,99942.83
1726,12,5,3,3,99957.77
1728,12,5,4,3,100017.85
1730,12,5,5,3,100089.23
1732,12,5,6,3,100163.44
1734,12,5,7,3,100220.64
1736,12,5,8,3,100270.035
1738,12,5,9,3,100314.725
1740,12,5,10,3,100326.745
1742,12,5,11,3,100334.315
1744,12,5,12,3,100353.16500000001
1746,12,5,13,3,100445.14499999999
1748,12,5,14,3,100537.31
1750,12,5,15,3,100667.63500000001
1752,12,5,16,3,100807.92
1754,12,5,17,3,100933.145
1756,12,5,18,3,101027.77
1758,12,5,19,3,101127.04999999999
1760,12,5,20,3,101230.95999999999
1762,12,5,21,3,101315.305
1764,12,5,22,3,101452.42
1766,12,5,23,3,101544.545
1768,12,6,0,4,101635.235
1770,12,6,1,4,101724.14
1772,12,6,2,4,101814.505
1774,12,6,3,4,101844.87
1776,12,6,4,4,101880.94
1778,12,6,5,4,101924.66
1780,12,6,6,4,101951.55
1782,12,6,7,4,101990.02
1784,12,6,8,4,102007.57
1786,12,6,9,4,101986.89
1788,12,6,10,4,101894.715
1790,12,6,11,4,101877.17
